aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.6876	0.6995	0.0363	-266.2964	53.2837	-119.6899
-0.5284	0.7830	0.0988	-264.7095	71.2280	-111.0840
-0.4310	0.8102	0.1619	-261.4746	78.1250	-102.0508
-0.4183	0.8409	0.2100	-258.7891	74.2798	-94.6045
-0.3948	0.8984	0.2522	-254.6997	61.3403	-87.1582
-0.3331	0.9503	0.2863	-247.6196	43.2739	-79.5288
-0.2708	0.9905	0.3044	-237.1216	25.6348	-72.9370
-0.2220	1.0259	0.3137	-224.1211	10.0098	-67.2607
-0.1932	1.0479	0.3116	-209.2896	-3.2959	-61.1572
-0.1938	1.0675	0.3010	-194.6411	-15.5029	-55.4810
-0.2197	1.0905	0.2938	-180.1147	-25.3296	-49.0723
-0.2645	1.1093	0.2867	-165.1001	-31.7383	-41.8091
-0.3022	1.1134	0.2693	-148.5596	-35.0342	-34.1797
-0.3522	1.1199	0.2529	-131.0425	-36.1938	-26.4282
-0.3979	1.0953	0.2345	-111.6943	-32.1655	-18.1885
-0.4211	1.0695	0.2061	-90.3931	-24.2920	-9.3384
-0.4194	1.0465	0.1761	-68.5425	-13.0615	-0.1831
-0.3887	1.0098	0.1403	-47.6685	-0.9766	9.8267
-0.3650	0.9835	0.0989	-28.9917	9.9487	19.0430
-0.3230	0.9569	0.0690	-14.1602	19.1040	25.4517
-0.2805	0.9341	0.0557	-3.8452	24.4141	29.1138
-0.2623	0.9197	0.0449	2.5024	24.6582	29.7241
-0.2550	0.9064	0.0228	6.5308	20.8130	28.0762
-0.2444	0.8871	0.0026	7.8125	15.7471	24.9634
-0.2393	0.8761	-0.0210	5.7983	10.2539	21.0571
-0.2577	0.8666	-0.0497	1.2207	3.4180	16.1743
-0.2832	0.8633	-0.0740	-4.9438	-1.4648	10.2539
-0.3184	0.8563	-0.0859	-11.7187	-3.1128	4.3335
-0.3370	0.8434	-0.0892	-18.1885	-2.0142	-1.0376
-0.3430	0.8456	-0.0900	-24.1699	0.3052	-4.8218
-0.3412	0.8439	-0.0906	-29.2358	2.3804	-7.7515
-0.3367	0.8427	-0.0869	-33.4473	2.9907	-9.7046
-0.3469	0.8418	-0.0869	-36.6211	2.1973	-11.5967
-0.3527	0.8488	-0.0830	-39.0015	1.8311	-12.8174
-0.3480	0.8505	-0.0765	-40.4663	2.6855	-13.5498
-0.3422	0.8578	-0.0737	-41.5039	2.9297	-14.0991
-0.3248	0.8630	-0.0669	-42.1753	3.2349	-13.7329
-0.3177	0.8599	-0.0710	-43.2739	4.0894	-13.3057
-0.3075	0.8582	-0.0731	-44.6777	5.2490	-12.1460
-0.2903	0.8638	-0.0756	-46.9360	5.7983	-10.7422
-0.2773	0.8717	-0.0831	-48.8281	5.1880	-9.5215
-0.2782	0.8722	-0.0839	-50.4761	3.9062	-8.6670
-0.2749	0.8755	-0.0737	-52.0020	2.5635	-8.3618
-0.2495	0.8749	-0.0690	-53.4058	1.4038	-7.8735
-0.2214	0.8782	-0.0557	-54.9927	-1.3428	-7.5073
-0.1826	0.8914	-0.0391	-56.7627	-5.4932	-6.5308
-0.1393	0.9163	-0.0156	-57.0068	-10.9863	-4.4556
-0.1328	0.9479	0.0001	-54.5044	-19.5313	-1.8921
-0.2506	1.0120	0.0969	-45.7764	-28.9307	2.0142
-0.5128	1.1788	0.2656	-20.5688	-37.0483	9.5215
-0.6079	1.3424	0.4780	30.3955	-39.5508	22.3999
-0.6812	1.4829	0.6410	104.7363	-36.4990	40.5273
-0.7775	1.5297	0.5697	197.2656	-25.8179	65.5518
-0.7087	1.4237	0.3826	292.1143	1.2207	91.7358
-0.6393	1.4781	0.4878	363.2812	35.7056	100.3418
-0.6332	1.4037	0.2563	442.5659	64.2700	89.5386
-0.5831	1.3562	0.1847	518.7378	105.6519	80.5664
-0.3602	1.3335	0.0934	574.5850	158.0200	54.0161
0.0283	1.0616	-0.0775	604.4312	190.1855	16.6626
0.1753	0.7938	-0.1562	575.3174	183.8379	-18.9819
0.0391	0.5929	-0.1619	492.9199	156.6162	-47.4854
-0.1080	0.4786	-0.1604	375.0610	137.0850	-62.5000
-0.0457	0.3881	-0.0957	243.1641	129.1504	-68.3594
0.1703	0.3660	0.0507	112.1216	105.1025	-65.7959
0.1279	0.4015	0.1776	-5.1270	41.8701	-55.7861
-0.0475	0.4340	0.1436	-95.4590	-41.6260	-39.5508
-0.2131	0.4485	0.0800	-157.7148	-111.7554	-25.3296
-0.3934	0.4966	0.0570	-199.2187	-153.5034	-17.6392
-0.5526	0.5547	0.0551	-223.3276	-164.9780	-12.6953
-0.6448	0.6409	0.0487	-234.2529	-151.8555	-9.7046
-0.7147	0.7336	0.0356	-234.6802	-124.5117	-10.2539
-0.6879	0.7737	0.0255	-224.9756	-87.5244	-12.3291
-0.6268	0.7200	0.0586	-211.3037	-52.9785	-9.6436
-0.5704	0.7756	0.0813	-200.1953	-31.6162	-17.7002
-0.5270	0.8333	0.1156	-186.5845	-14.1602	-25.2686
-0.4991	0.8502	0.1659	-172.6074	-0.9766	-33.0811
-0.4835	0.9006	0.2128	-159.8511	8.3618	-40.9546
-0.4261	0.9417	0.2451	-146.2402	17.5171	-46.0815
-0.3376	0.9645	0.2562	-133.4839	24.6582	-48.1567
-0.2444	0.9712	0.2653	-123.6572	27.4658	-47.0581
-0.1686	0.9805	0.2753	-117.4927	25.3296	-44.0063
-0.1055	0.9935	0.2723	-113.1592	18.9209	-39.1846
-0.0719	1.0034	0.2627	-109.8022	9.1553	-33.6304
-0.0909	1.0140	0.2521	-107.3608	-1.2207	-28.3203
-0.1130	1.0171	0.2264	-104.1870	-10.9863	-23.4985
-0.1337	1.0217	0.1998	-100.6470	-18.4937	-18.7988
-0.1722	1.0232	0.1775	-96.7407	-23.1323	-13.0615
-0.2081	1.0216	0.1459	-91.7358	-26.6724	-7.5684
-0.2478	1.0304	0.1216	-86.8530	-30.9448	-4.0894
-0.2823	1.0365	0.0930	-80.8105	-31.9214	-2.4414
-0.3002	1.0187	0.0619	-71.7773	-28.4424	-1.0376
-0.2937	0.9884	0.0420	-63.0493	-21.4844	-0.0610
-0.2924	0.9604	0.0255	-55.4199	-14.6484	-0.1221
-0.2694	0.9427	0.0114	-48.2178	-9.2163	-0.5493
-0.2391	0.9313	-0.0002	-43.2739	-5.9204	-0.5493
-0.2549	0.9187	-0.0122	-40.2222	-4.8218	-1.8921
-0.2621	0.9105	-0.0291	-37.4756	-4.1504	-2.9297
-0.2738	0.8932	-0.0520	-35.1563	-3.9062	-2.6855
-0.2877	0.9012	-0.0764	-34.2407	-3.7842	-2.6245
-0.2971	0.9034	-0.0916	-34.1797	-2.1973	-2.6245
-0.2812	0.8988	-0.1039	-35.0952	0.0000	-1.3428
-0.2817	0.9039	-0.1135	-38.5132	0.1831	-0.1221
-0.2880	0.9163	-0.1200	-42.8467	-1.3428	0.6714
-0.2837	0.9110	-0.1222	-46.8750	-3.4790	0.9766
-0.2780	0.9087	-0.1173	-51.3306	-5.3711	0.8545
-0.2806	0.9064	-0.1112	-54.8706	-7.0801	1.2207
-0.2866	0.9021	-0.1100	-57.3120	-7.8125	1.7090
-0.2845	0.8983	-0.1068	-58.7769	-7.4463	2.7466
-0.2690	0.9081	-0.1055	-58.7769	-6.2256	4.7607
-0.2522	0.9359	-0.0946	-57.9834	-5.9814	6.6528
-0.2219	0.9402	-0.0873	-55.0537	-6.6528	9.0332
-0.2683	0.9374	-0.0105	-51.7578	-9.3384	11.2305
-0.4885	1.1217	0.1226	-43.0298	-12.6343	15.9302
-0.6237	1.2206	0.2202	-8.6060	-11.7187	28.8696
-0.8958	1.4347	0.3833	45.7764	-7.6904	52.7954
-1.1427	1.6237	0.5137	127.5024	-4.0283	86.6089
-1.2616	1.6661	0.4408	231.2012	15.3809	129.2725
-1.1332	1.7145	0.5933	332.3364	69.8853	165.6494
-1.0370	1.6493	0.1221	433.4106	139.2212	180.2368
-1.0001	1.4951	-0.0762	547.0581	219.7266	186.4014
-0.6965	1.4623	-0.0447	634.4604	319.4580	161.1938
-0.2402	1.3987	-0.0530	708.4961	378.7842	120.9106
0.0205	1.2505	-0.1157	750.1221	388.5498	73.3032
0.0927	1.1165	-0.1764	753.2959	360.7178	37.7808
0.3936	0.8640	-0.3606	722.7783	316.5283	22.7661
0.5623	0.1812	-0.2446	625.3662	260.0708	17.3340
0.5565	-0.4548	0.1252	462.7686	209.8389	14.5264
0.6455	-0.5762	0.4722	282.3486	153.3813	7.7515
0.6329	-0.3203	0.6143	111.5723	81.4209	-2.0142
0.4529	-0.0764	0.5378	-20.4468	-0.4272	-16.3574
0.2394	0.0952	0.4402	-113.6475	-89.0503	-32.0435
-0.0026	0.2460	0.3186	-172.9736	-171.8140	-43.3960
-0.3391	0.3907	0.2479	-205.2612	-220.5811	-47.3022
-0.6410	0.4895	0.1965	-217.5293	-230.6519	-38.5742
-0.8529	0.5040	0.1919	-214.1113	-207.6416	-19.7754
-0.9175	0.5349	0.2621	-202.5757	-166.6870	2.0142
-0.9272	0.6176	0.3871	-183.4717	-121.0938	19.8364
-0.8792	0.6498	0.5117	-155.3345	-77.4536	31.0669
-0.7386	0.6294	0.6139	-120.8496	-40.0391	33.2642
-0.5859	0.5947	0.6670	-86.9141	-13.3667	26.7944
-0.5074	0.5536	0.6735	-61.4624	3.6011	16.3574
-0.4619	0.5403	0.6727	-48.4009	15.9912	5.0659
-0.3890	0.5583	0.6709	-46.0815	27.0996	-6.5918
-0.2808	0.5784	0.6694	-49.5605	36.4990	-18.5547
-0.1744	0.5886	0.6752	-57.0068	39.4287	-28.8086
-0.1223	0.6239	0.6764	-67.8711	33.0811	-36.7432
-0.1564	0.6830	0.6688	-78.0640	20.5688	-40.0391
-0.2408	0.7462	0.6304	-84.7778	9.0942	-36.8652
-0.2994	0.7449	0.6230	-87.7075	4.2114	-28.1372
-0.3309	0.7495	0.6438	-88.1958	1.9531	-17.8223
-0.3586	0.7731	0.6683	-83.6792	0.5493	-8.6670
