aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.8571	-0.3970	-0.3625	223.6938	-1.4648	58.2886
-0.8124	-0.3658	-0.3906	227.0508	-6.7139	53.8940
-0.7905	-0.3909	-0.4396	230.2856	-12.8174	52.0020
-0.8405	-0.4110	-0.4611	226.6846	-15.9302	50.4761
-0.8773	-0.4050	-0.4845	218.5669	-16.8457	51.3916
-0.8307	-0.4016	-0.4667	206.5430	-18.3105	54.1992
-0.7521	-0.4292	-0.5103	193.7866	-22.7661	57.5562
-0.7681	-0.4838	-0.5026	177.0630	-31.4331	53.1616
-0.8568	-0.4921	-0.4237	157.2266	-44.6777	43.8232
-0.9039	-0.3667	-0.4232	144.6533	-55.4810	38.8794
-0.9545	-0.3525	-0.4091	145.5078	-43.9453	41.8701
-0.9619	-0.3624	-0.4033	148.5596	-26.2451	40.9546
-0.9514	-0.3851	-0.4022	153.7476	-1.2207	43.4570
-0.9399	-0.4052	-0.3865	156.3110	25.0244	45.3491
-0.9065	-0.4275	-0.3856	155.0293	47.6074	48.7671
-0.8683	-0.4697	-0.4211	149.8413	67.2607	52.8564
-0.8110	-0.5127	-0.4846	137.6953	79.7729	54.2603
-0.7316	-0.5375	-0.4910	118.8354	81.0547	52.9175
-0.6898	-0.5411	-0.4640	97.9614	70.6177	48.4009
-0.6958	-0.4879	-0.4075	79.8950	53.3447	43.0908
-0.7222	-0.4370	-0.4059	69.6411	34.0576	40.6494
-0.7559	-0.4099	-0.3787	65.3076	17.7612	37.8418
-0.8033	-0.3851	-0.3616	66.7725	8.1787	35.5225
-0.8571	-0.3698	-0.3579	73.1201	7.6294	32.7759
-0.8502	-0.3792	-0.3727	81.4819	13.7329	29.0527
-0.7667	-0.4159	-0.3923	87.0972	19.3481	25.5127
-0.6903	-0.4652	-0.4000	87.5854	19.4702	23.3765
-0.6886	-0.4957	-0.4532	82.0923	11.3525	22.0947
-0.7361	-0.4858	-0.4697	71.7163	-1.5259	21.0571
-0.7827	-0.4445	-0.4539	60.4248	-11.9629	20.8130
-0.7994	-0.4124	-0.4512	53.2837	-20.2026	21.3013
-0.8248	-0.4028	-0.4556	50.1709	-25.9399	22.7051
-0.8563	-0.4001	-0.4583	49.0723	-24.7803	23.0713
-0.8711	-0.4155	-0.4702	48.4009	-16.5405	22.7661
-0.8358	-0.4624	-0.5242	45.5322	-5.1270	22.4609
-0.7833	-0.6049	-0.6606	36.3159	5.9814	20.9961
-0.7805	-0.8909	-0.7917	7.8125	23.0713	11.8408
-0.8721	-1.2070	-0.8354	-52.7954	51.5137	-6.5918
-0.9089	-1.1589	-0.7723	-144.8364	85.0830	-29.0527
-0.8098	-0.7865	-0.6469	-240.2954	98.0225	-52.0630
-0.6844	-0.5767	-0.6532	-317.8711	77.5757	-72.6929
-0.6010	-0.5367	-0.7635	-387.4512	32.4097	-97.5952
-0.5406	-0.4927	-0.8700	-457.0312	-17.1509	-124.3896
-0.5017	-0.3687	-0.9788	-522.3999	-58.0444	-152.9541
-0.5133	-0.1615	-1.0717	-580.6885	-83.0078	-184.4482
-0.6060	0.0613	-1.1024	-626.9531	-89.7217	-213.6841
-0.7239	0.2183	-1.0964	-658.3862	-75.9277	-234.3750
-0.8274	0.3138	-1.0175	-675.6592	-46.6309	-242.3096
-1.1289	0.3795	-0.6987	-674.0112	-8.6060	-235.9009
-1.1792	0.3635	-0.5121	-633.4839	34.4238	-202.5757
-1.0460	0.1149	-0.1753	-567.6880	67.5049	-158.0811
-0.8025	0.1495	0.0834	-504.7607	47.9736	-133.7280
-0.8776	0.1211	0.4093	-411.4990	22.3389	-83.1299
-1.1790	0.0248	0.6583	-321.9604	-25.0854	-33.8745
-1.4966	0.1855	0.9088	-232.3608	-70.3125	5.9204
-1.6031	0.3312	0.9739	-122.6807	-70.7397	49.0112
-1.3317	0.3416	0.9247	-6.4087	-32.0435	83.3130
-1.1061	0.3369	0.8251	91.0034	1.7090	103.5156
-1.0504	0.3022	0.6874	166.6870	26.7334	106.8115
-1.0099	0.2374	0.5081	226.2573	49.8657	98.8159
-0.8635	0.1489	0.3101	270.9961	67.1997	83.4961
-0.7183	-0.0179	0.1552	300.1099	72.2656	62.5610
-0.7213	-0.1393	0.1140	310.7910	62.8052	38.3911
-0.8099	-0.1735	0.0725	314.6973	48.7061	21.9727
