aX	 aY 	 aZ	 gX	 gY	 gZ	
0.0856	-0.1099	0.2017	35.9497	-11.4136	5.1270
0.2896	-0.1177	-0.0156	35.9497	-11.4136	5.1270
0.4918	-0.1171	-0.2839	38.8794	-40.2222	4.9438
0.5630	-0.1208	-0.6221	43.4570	-81.9702	3.7231
0.4186	-0.1628	-0.9734	45.9595	-121.0327	-5.0049
0.2079	-0.2383	-1.3203	43.0908	-143.7378	-17.8833
0.1038	-0.3267	-1.5940	29.2969	-136.4746	-32.2266
0.1902	-0.4320	-1.8048	7.9956	-105.4077	-40.4663
0.4393	-0.5090	-1.9141	-21.8506	-63.7207	-51.6968
0.8538	-0.5289	-1.8669	-61.2793	-34.2407	-67.0776
1.1625	-0.4595	-1.6586	-107.6050	-35.7666	-88.6230
1.0371	-0.2804	-1.2305	-156.8604	-71.8384	-119.0796
0.4724	0.0853	-0.5730	-202.0874	-118.4692	-147.0947
-0.1572	0.6162	0.1121	-231.1401	-143.5547	-161.0718
-0.6680	1.1151	0.8571	-227.7222	-138.4277	-150.5127
-1.2888	1.2485	1.6677	-205.2612	-108.2153	-129.4556
-1.9606	1.3129	2.4066	-175.1709	-72.8149	-100.0977
-2.3164	1.4121	3.0693	-149.9634	-39.9780	-70.6787
-2.4813	1.2869	3.6196	-131.8359	-11.2915	-53.7109
-2.4899	1.1392	3.9995	-117.7979	2.6245	-45.7153
-2.2372	1.2059	3.9995	-99.0601	-5.1270	-38.6963
-1.9243	1.0015	3.9115	-49.3774	-35.2783	-26.3672
-1.6184	0.8950	3.7643	-2.6245	-93.2007	-14.9536
-2.9700	0.4580	3.6337	-0.3052	-149.7803	-5.9814
-2.8541	1.1344	3.3242	2.2583	-149.5361	3.5400
-2.4017	1.0405	2.8588	36.2549	-95.5811	28.8086
-2.1554	0.6688	2.4183	85.3882	-35.0952	52.2461
-1.6976	0.5128	1.9861	105.5298	7.6294	54.6265
-1.3033	0.4204	1.6289	102.1118	32.9590	63.4766
-1.0115	0.3661	1.3208	94.0552	38.4521	71.2280
-0.9089	0.3252	1.0471	88.3789	32.2876	71.8384
-0.8220	0.3127	0.8330	82.9468	26.4893	73.4863
-0.7208	0.2689	0.6647	76.7822	26.7944	76.8433
-0.6365	0.1986	0.5503	69.7021	30.5176	79.3457
-0.5768	0.1555	0.4969	62.5000	34.7290	80.2612
-0.5054	0.1351	0.4736	55.2979	40.2832	78.1250
-0.4464	0.1191	0.4540	50.2319	47.5464	73.8525
-0.4031	0.0914	0.4431	48.3398	54.7485	69.3359
-0.3555	0.0496	0.4407	46.9360	61.8286	65.7349
-0.3074	0.0110	0.4314	44.4336	67.8101	61.3403
-0.2693	-0.0094	0.4288	40.9546	70.6177	57.1899
-0.2467	-0.0284	0.4353	36.9263	70.8618	53.9551
-0.2312	-0.0421	0.4379	33.6304	68.7256	49.8657
-0.2167	-0.0508	0.4434	31.0059	64.8193	45.8374
-0.2206	-0.0613	0.4613	29.6021	59.3262	42.2974
-0.2472	-0.0651	0.4807	29.1138	53.9551	39.5508
-0.2574	-0.0668	0.4965	28.9917	50.2930	38.3911
-0.2692	-0.0742	0.5103	29.3579	48.7061	37.2314
-0.2875	-0.0870	0.5323	28.2593	49.9878	35.0342
-0.2870	-0.1006	0.5531	27.9541	49.7437	32.1045
-0.2643	-0.1138	0.5736	25.6958	52.5513	28.9307
-0.2443	-0.1174	0.5997	23.4375	53.5278	24.5361
-0.2335	-0.1161	0.6321	21.0571	53.5889	20.9961
-0.2417	-0.1080	0.6582	18.0664	52.1240	16.7236
-0.2640	-0.1044	0.6624	17.0288	49.1333	12.6343
-0.2667	-0.0957	0.6584	18.4326	46.4478	12.5732
-0.2550	-0.0859	0.6544	20.6909	42.4805	14.1602
-0.2390	-0.0992	0.6418	23.4375	37.8418	15.5029
-0.2274	-0.1213	0.6240	26.1841	30.2734	16.1133
-0.2551	-0.1279	0.6162	26.6113	23.4375	16.2964
-0.2986	-0.1296	0.6046	25.5127	18.0054	13.6719
-0.3240	-0.1237	0.5980	23.3765	18.9819	11.9629
-0.3187	-0.1093	0.5930	21.8506	24.7192	8.8501
-0.2882	-0.0995	0.5844	21.3013	32.9590	4.4556
-0.2407	-0.0984	0.5687	21.7285	40.8325	0.4883
-0.1919	-0.0930	0.5417	23.7427	44.4946	-2.3193
-0.1262	-0.0897	0.5023	27.4048	42.2363	-2.7466
-0.0645	-0.0951	0.4456	31.0059	34.4849	-3.3569
-0.0164	-0.1147	0.3706	36.1328	19.9585	-3.7231
0.0016	-0.1482	0.2834	39.6729	1.3428	-5.1270
0.0104	-0.1830	0.1967	40.0391	-18.1274	-5.9204
0.0176	-0.2159	0.1134	37.3535	-36.7432	-7.5073
0.0117	-0.2506	0.0305	32.1045	-53.0396	-9.9487
0.0267	-0.2665	-0.0551	23.4985	-65.7349	-13.7329
0.0906	-0.2704	-0.1422	13.6108	-75.3784	-18.7378
0.2241	-0.2932	-0.2495	3.9673	-84.9609	-23.7427
0.3956	-0.3444	-0.3845	-4.8828	-98.6938	-27.8931
0.5742	-0.3779	-0.5337	-13.4277	-118.6523	-31.1279
0.6652	-0.3831	-0.7318	-19.9585	-144.0430	-36.4380
0.6626	-0.3220	-0.9277	-21.6064	-165.7104	-44.8608
0.5724	-0.2677	-1.0635	-20.5078	-179.8706	-59.9365
0.3651	-0.3104	-1.0940	-30.0903	-178.9551	-83.3130
0.1110	-0.3412	-0.9989	-62.6831	-157.1655	-113.4644
-0.1794	-0.1603	-0.7717	-113.3423	-125.6714	-146.2402
-0.4014	0.1956	-0.4220	-161.5601	-96.0083	-171.5088
-0.6886	0.5544	0.0750	-191.2231	-75.5615	-178.4668
-1.0690	0.8351	0.6526	-200.8057	-61.5234	-156.6772
-1.3687	1.0397	1.3094	-195.7397	-54.1992	-114.8071
-1.7793	1.1553	1.9617	-173.2178	-56.0913	-78.3081
-2.2686	1.1549	2.5009	-139.2822	-65.0635	-58.7769
-2.5822	1.0743	2.8749	-108.9478	-72.8149	-45.6543
-2.7931	0.9331	3.0486	-83.8013	-75.4395	-31.6772
-2.9430	0.8121	2.9629	-61.7676	-71.5332	-22.8271
-2.6448	0.5922	2.9445	-39.9780	-65.3687	-13.9771
-2.9480	0.6282	2.9258	-34.3628	-62.4390	-1.1597
-2.8611	0.6300	2.8828	-27.0996	-48.1567	3.6621
-2.5099	0.6838	2.7039	-6.5918	-18.6157	19.2261
-2.0736	0.4960	2.4427	22.8882	8.6670	37.1704
-1.6631	0.3700	2.1593	44.0674	23.7427	46.3867
-1.3077	0.3109	1.8813	52.6123	28.9917	55.7251
-1.0538	0.3052	1.5995	59.2041	29.9072	63.9038
-0.9177	0.2770	1.3000	68.8477	32.8369	66.5283
-0.7684	0.1949	1.0127	77.8198	40.5273	67.6270
-0.6134	0.1127	0.7771	81.0547	50.2319	70.4956
-0.5018	0.0618	0.5984	77.9419	56.7017	72.0825
-0.4379	0.0273	0.4860	70.7397	58.7769	70.3735
-0.4225	0.0096	0.4324	61.0352	59.0210	67.2607
-0.4263	-0.0006	0.4130	50.8423	60.1196	65.2466
-0.3802	-0.0217	0.4115	41.8091	63.4766	63.5376
-0.3276	-0.0394	0.4204	34.1797	66.3452	60.4248
-0.3540	-0.0250	0.4318	28.5034	67.0166	55.6641
-0.3821	-0.0149	0.4257	26.5503	68.7256	50.9033
-0.3998	-0.0408	0.4368	27.4658	74.2188	47.7905
-0.3971	-0.0682	0.4521	27.0996	81.5430	44.3115
-0.3679	-0.0820	0.4672	25.0854	86.7310	40.1611
-0.3337	-0.0770	0.4839	22.2168	86.7310	35.3394
-0.3134	-0.0746	0.5013	18.4326	80.7495	30.2124
-0.3270	-0.0817	0.5273	14.2822	70.0684	25.7568
-0.3865	-0.0581	0.5587	9.0332	57.6172	21.4233
-0.4419	-0.0219	0.5944	4.9438	46.0205	20.2026
-0.4941	-0.0038	0.6223	3.7231	37.6587	20.5078
-0.5436	0.0044	0.6306	5.5542	33.8745	22.8271
-0.5809	0.0049	0.6211	10.5591	35.8276	24.6582
-0.5615	-0.0286	0.6010	17.3340	43.7622	25.8789
-0.4896	-0.0721	0.5845	22.4609	55.5420	26.6113
-0.4064	-0.1038	0.5789	24.2310	64.8804	25.6958
-0.3300	-0.0958	0.5869	22.2778	68.2373	23.2544
-0.2831	-0.0997	0.6193	19.8975	64.0259	21.3623
-0.2913	-0.1101	0.6434	17.2729	56.3965	18.2495
-0.3198	-0.0959	0.6583	15.9302	46.9360	13.4888
-0.3464	-0.0697	0.6626	16.0522	39.4287	10.5591
-0.3505	-0.0508	0.6621	18.6157	34.8511	11.5356
-0.3418	-0.0587	0.6465	23.6816	31.6772	15.0146
-0.3260	-0.0844	0.6233	29.5410	28.8086	16.7847
-0.3280	-0.1149	0.6085	32.7148	25.7568	17.2119
-0.3286	-0.1340	0.6007	33.0200	25.0854	16.2354
-0.3094	-0.1338	0.5947	31.8604	26.3062	13.9160
-0.2709	-0.1368	0.5905	30.6396	28.5034	11.5356
-0.2144	-0.1488	0.5854	29.7241	30.3955	9.2773
-0.1571	-0.1636	0.5739	28.9307	29.5410	6.7749
-0.1200	-0.1766	0.5603	27.8931	24.4141	3.5400
-0.1089	-0.1906	0.5555	26.1841	17.0288	-0.1831
-0.1079	-0.2004	0.5526	23.5596	9.4604	-2.4414
-0.0944	-0.2037	0.5349	21.9116	2.9907	-4.2725
-0.0828	-0.2056	0.5072	21.7896	-2.5635	-6.4087
-0.0833	-0.2144	0.4745	22.3389	-7.5684	-8.9722
-0.0806	-0.2236	0.4292	23.2544	-11.9629	-11.1084
-0.0629	-0.2296	0.3743	23.6206	-15.3198	-13.6719
-0.0054	-0.2549	0.3197	22.8271	-19.1040	-16.3574
0.0776	-0.2811	0.2562	20.2026	-24.8413	-18.4326
0.2175	-0.2913	0.1559	16.7236	-34.7290	-19.8364
0.3823	-0.2811	-0.0070	14.9536	-49.9878	-22.1558
0.5211	-0.2708	-0.2876	18.7378	-71.9604	-26.4282
0.5642	-0.2758	-0.6410	26.7944	-98.0225	-33.8745
0.5076	-0.3556	-1.0491	33.3252	-118.0420	-44.4336
0.4407	-0.4666	-1.4193	26.1230	-123.4741	-58.5327
0.3134	-0.5469	-1.6095	-3.2349	-115.4175	-75.1953
0.1985	-0.5149	-1.5934	-52.6123	-93.8110	-94.0552
0.1737	-0.3289	-1.3303	-112.1826	-66.2842	-112.9761
0.1233	-0.0481	-0.8533	-168.8232	-41.3818	-130.7983
-0.0627	0.3201	-0.2590	-207.8247	-21.9116	-141.5405
-0.3729	0.6942	0.3795	-221.9238	-9.7656	-136.5356
-0.7037	0.9618	1.0292	-214.9658	-1.0986	-119.6899
-1.1107	1.0874	1.6451	-196.6553	1.3428	-100.9521
-1.6124	1.1344	2.1788	-176.0254	-2.9907	-86.4868
-2.0077	1.1813	2.6045	-159.1187	-9.4604	-72.9370
-2.1913	1.1501	2.9618	-144.5312	-16.2354	-56.0913
-2.2728	1.1007	3.2096	-126.7090	-25.2075	-40.1611
-2.2495	1.0439	3.2676	-99.8535	-35.7666	-30.1514
-1.9282	0.8367	3.0714	-55.7861	-46.3257	-21.4844
-1.9302	0.6552	3.0643	-17.6392	-64.2090	-6.4697
-2.0853	0.5583	2.9775	-8.8501	-78.9795	-2.0142
-1.9655	0.7375	2.7814	7.5684	-74.2798	5.8594
-1.7797	0.6534	2.4944	36.7432	-56.5796	20.6299
-1.5853	0.4556	2.1525	65.4907	-34.8511	30.3955
-1.3597	0.3492	1.8285	79.2847	-18.0054	36.1938
-1.1333	0.2692	1.5502	80.8105	-5.2490	43.5791
-0.9738	0.2042	1.3192	78.3691	2.8687	48.7671
-0.8851	0.1604	1.1259	75.5005	9.7046	51.1475
-0.8264	0.1429	0.9865	71.1670	19.1040	53.1006
-0.7510	0.1470	0.8815	65.3687	31.0059	54.5654
-0.6494	0.1461	0.8073	59.1431	42.4805	54.7485
-0.5543	0.1409	0.7649	53.7109	49.3164	54.5654
-0.4918	0.1340	0.7444	48.7671	50.7202	54.9316
-0.4686	0.1316	0.7367	44.7998	48.5840	55.4199
-0.4493	0.1156	0.7323	41.6260	45.7764	56.0303
-0.4265	0.0852	0.7266	39.1846	43.1519	55.9692
-0.4243	0.0610	0.7235	36.8652	40.0391	55.0537
-0.4382	0.0437	0.7378	34.2407	37.7808	52.1240
-0.4617	0.0332	0.7451	32.2266	38.6353	47.3633
-0.4645	0.0272	0.7419	32.4097	42.1143	42.8467
-0.4341	0.0144	0.7388	34.1797	48.1567	39.9780
-0.4042	0.0066	0.7236	36.8652	54.6265	38.7573
-0.3676	-0.0049	0.6899	40.1001	59.2041	37.1094
-0.3357	-0.0225	0.6614	43.4570	61.2183	34.9121
-0.3085	-0.0306	0.6422	45.7153	60.6689	33.0200
-0.3013	-0.0477	0.6296	46.8140	58.4717	31.6162
-0.2944	-0.0662	0.6119	47.3022	56.0303	30.6396
-0.2753	-0.0801	0.5947	47.2412	53.0396	28.8696
-0.2615	-0.0936	0.5808	46.2646	48.7671	27.2217
-0.2693	-0.1171	0.5652	44.0674	43.7012	25.6348
-0.2714	-0.1360	0.5652	41.0156	39.9780	24.4141
-0.3074	-0.1565	0.5847	36.0718	39.1235	21.9727
-0.3456	-0.1528	0.6036	31.9214	41.1987	17.4561
-0.3582	-0.1305	0.6315	28.9917	47.9126	13.2446
-0.3618	-0.1195	0.6522	29.4800	56.0913	10.3149
-0.3219	-0.1147	0.6608	32.1045	64.4531	8.1177
-0.2590	-0.1223	0.6604	35.7666	68.4204	7.5684
-0.1998	-0.1403	0.6482	38.3301	64.0869	7.0190
-0.1635	-0.1606	0.6346	39.7949	51.7578	6.9580
-0.1818	-0.1666	0.6368	38.2080	34.3018	6.1646
-0.2354	-0.1609	0.6425	34.5459	17.2119	5.2490
-0.2877	-0.1515	0.6456	30.6396	4.8828	3.9062
-0.3572	-0.1285	0.6355	28.1982	0.0000	2.5635
-0.4023	-0.1086	0.6205	27.5269	4.0283	0.4883
-0.3798	-0.1078	0.5905	29.3579	14.5264	-0.9155
-0.3105	-0.1195	0.5441	33.0811	26.2451	-1.7090
-0.2155	-0.1426	0.4906	37.1704	33.9966	-2.0142
-0.0983	-0.1624	0.4081	41.6260	33.5693	-2.2583
0.0281	-0.1792	0.2802	45.8984	23.2544	-2.9907
0.1589	-0.2168	0.0988	50.2319	2.5024	-4.0894
0.3209	-0.2816	-0.1400	51.7578	-27.8320	-5.3101
0.4473	-0.3694	-0.4286	46.2036	-66.1011	-6.4087
0.4365	-0.4309	-0.7333	31.1279	-105.7739	-9.5215
0.3230	-0.4471	-1.0293	8.7891	-134.5825	-17.6392
0.2434	-0.4198	-1.2958	-15.3809	-142.5171	-30.6396
0.2300	-0.4001	-1.4570	-37.6587	-128.7842	-44.1895
0.3260	-0.4845	-1.5149	-60.8521	-97.5952	-57.4341
