aX	 aY 	 aZ	 gX	 gY	 gZ	
0.1232	-1.2582	0.6755	-70.0073	-54.6875	-69.8853
0.0258	-1.2615	0.7268	-70.0073	-54.6875	-69.8853
-0.0485	-1.2295	0.8022	-58.1055	-36.3770	-69.8853
-0.0608	-1.1351	0.9354	-50.5371	-21.3623	-65.4907
-0.1207	-1.0284	1.0850	-46.2646	-10.5591	-59.5703
-0.2579	-0.9042	1.2039	-40.4053	-8.8501	-59.1431
-0.3384	-0.7700	1.2898	-30.5786	-12.8174	-53.8940
-0.3507	-0.7206	1.3275	-20.3247	-16.9678	-44.0674
-0.3965	-0.6074	1.3607	-13.8550	-20.1416	-36.6821
-0.4087	-0.4900	1.3959	-5.9204	-23.3154	-26.3062
-0.3317	-0.4165	1.3929	4.6387	-21.3013	-17.7612
-0.2234	-0.3975	1.3483	17.2119	-15.0757	-10.0708
-0.1462	-0.3693	1.2852	26.3672	-12.4512	-7.5073
-0.0934	-0.3481	1.2184	28.0762	-8.1177	-8.3008
-0.0779	-0.3040	1.1718	26.0620	-3.5400	-10.8643
-0.0657	-0.2313	1.1448	23.7427	0.4883	-11.9019
-0.0486	-0.1779	1.1177	23.9868	4.0894	-10.4980
-0.0455	-0.1357	1.1140	26.7944	5.4932	-8.4229
-0.0647	-0.0988	1.1000	31.5552	5.6152	-3.1738
-0.0956	-0.0940	1.0853	36.4990	6.8970	1.7090
-0.1228	-0.0908	1.0664	44.7998	5.9814	5.8594
-0.1072	-0.1244	1.0316	49.2554	8.4839	7.6294
-0.1013	-0.1884	0.9923	51.6357	7.3853	9.8877
-0.1005	-0.2195	0.9750	47.9126	7.1411	11.8408
-0.0824	-0.2341	0.9769	41.3208	6.7749	14.0381
-0.0574	-0.2717	0.9769	36.5601	5.2490	15.3198
-0.0494	-0.3221	0.9623	31.6162	3.2349	14.4043
-0.0701	-0.3510	0.9550	25.8179	1.8311	11.9629
-0.1038	-0.3450	0.9810	20.2026	2.5635	8.9722
-0.1375	-0.3103	1.0082	18.9209	6.7749	7.3242
-0.1436	-0.3029	1.0247	23.8037	13.5498	8.2397
-0.1106	-0.3276	1.0142	31.4941	20.3857	10.9863
-0.0793	-0.3628	1.0000	38.0859	26.0010	12.0239
-0.0598	-0.3875	0.9706	42.8467	29.1138	10.7422
-0.0435	-0.4209	0.9271	45.5322	28.8086	9.0942
-0.0341	-0.4633	0.8782	44.3726	25.2686	7.9346
-0.0464	-0.5054	0.8313	38.2690	21.9116	5.4321
-0.0667	-0.5291	0.7867	27.2827	17.9443	2.4414
-0.0878	-0.5326	0.7605	12.9395	15.9302	-1.4038
-0.1077	-0.4962	0.7744	-1.1597	17.5781	-5.1270
-0.1604	-0.3713	0.8434	-9.8877	21.3013	-5.6152
-0.1136	-0.2820	0.8939	-7.6904	26.6113	1.7700
-0.0319	-0.2755	0.9336	2.6245	30.0903	12.6343
0.0277	-0.3062	0.9253	17.6392	28.8696	17.6392
0.0588	-0.3632	0.8988	29.6021	20.5078	16.0522
0.0455	-0.4071	0.8683	34.1797	7.3242	12.4512
0.0010	-0.4321	0.8380	31.7993	-6.1646	9.5825
-0.0447	-0.4473	0.8070	23.8647	-16.4795	7.6294
-0.0715	-0.4531	0.7755	11.8408	-22.1558	3.9673
