aX	 aY 	 aZ	 gX	 gY	 gZ	
0.0522	-0.3745	0.9054	-3.6011	-21.1182	-8.1787
-0.0891	-0.3275	0.8967	-9.3994	-25.2075	-13.4888
-0.1862	-0.2611	0.9204	-11.8408	-19.5313	-13.1836
-0.1753	-0.2378	0.9447	-9.5215	-5.9814	-6.9580
-0.0841	-0.2396	0.9685	-4.7607	8.1787	0.9155
0.0409	-0.2648	0.9839	-0.4272	17.0898	6.4697
0.1379	-0.2917	0.9972	3.1738	17.3950	6.8970
0.1641	-0.3018	0.9927	5.7373	8.2397	2.1973
0.1111	-0.3177	0.9717	6.6528	-5.4932	-2.5024
0.0488	-0.3433	0.9446	5.4932	-18.3105	-6.2866
-0.0099	-0.3530	0.9248	2.0142	-26.4893	-9.5825
-0.1227	-0.3135	0.9281	-2.6245	-27.9541	-12.8784
-0.1951	-0.2709	0.9425	-5.7373	-20.8740	-12.5122
-0.1415	-0.2756	0.9575	-5.8594	-7.0190	-7.8125
-0.0300	-0.2834	0.9708	-4.2725	7.4463	-4.4556
0.0328	-0.2595	0.9888	-2.7466	14.8315	-3.7842
0.1003	-0.2513	1.0067	-0.9766	14.8315	-3.3569
0.1620	-0.2638	1.0149	2.6855	9.2163	-3.7842
0.1995	-0.2722	1.0131	6.5308	-0.2441	-6.5308
0.2390	-0.2821	1.0023	8.5449	-11.1694	-11.2305
0.2809	-0.2938	0.9907	9.1553	-23.9258	-16.3574
0.3037	-0.2733	0.9857	8.3618	-38.4521	-23.5596
0.3286	-0.2639	0.9874	6.8359	-51.8799	-31.0669
0.3492	-0.2343	0.9915	5.7373	-65.6738	-38.1470
0.3411	-0.2117	1.0024	5.9814	-78.1250	-45.3491
0.3566	-0.1840	1.0215	5.5542	-84.4116	-55.1758
0.3837	-0.1400	1.0305	10.4980	-87.5854	-62.5000
0.5011	-0.1407	1.0182	16.1133	-86.4258	-69.7021
0.7504	-0.1417	0.9963	21.6675	-91.6748	-77.4536
0.9001	-0.1322	0.9530	25.1465	-109.0698	-91.4917
0.9163	-0.0547	0.8960	28.4424	-137.2070	-112.5488
0.9375	-0.0110	0.8219	34.9731	-174.1943	-134.2163
1.0079	0.0106	0.7395	39.4287	-213.5620	-153.8696
0.7771	0.2059	0.6986	41.5039	-254.4556	-172.3633
0.3429	0.3452	0.6456	51.6357	-285.6445	-177.9785
0.2880	0.2657	0.5909	65.4297	-288.6963	-166.3208
0.2755	0.1656	0.5085	74.7681	-272.7051	-156.1890
0.2181	0.1694	0.4447	75.0122	-248.1689	-158.9966
0.1630	0.1801	0.3866	72.6318	-226.5015	-166.5649
0.1686	0.1562	0.3273	68.1152	-210.7544	-176.2085
0.2416	0.1571	0.2750	61.4624	-206.1768	-188.2324
0.2850	0.1572	0.1948	54.0161	-220.7031	-202.3926
-0.0356	0.3716	0.1259	48.3398	-257.5684	-214.2944
-0.2227	0.3646	0.0269	50.5981	-299.9268	-205.5054
-0.3134	0.3342	-0.0779	54.7485	-338.3789	-184.6313
-0.3982	0.3553	-0.1743	59.6924	-376.7090	-167.7856
-0.6831	0.4602	-0.2582	69.8853	-411.3770	-151.1230
-1.3813	0.5721	-0.3485	91.6748	-424.2554	-135.4980
-2.2939	0.5110	-0.4209	126.1597	-377.7466	-126.5259
-2.5034	0.2896	-0.5632	159.6680	-250.8545	-128.0518
-2.2716	0.0294	-0.7437	169.6167	-92.9565	-142.9443
-1.9458	-0.0602	-0.8312	145.8740	29.0527	-161.9873
-1.5387	-0.0089	-0.7590	101.8677	81.6650	-168.5181
-1.2844	0.1157	-0.5997	58.2886	56.5796	-160.0952
-1.5049	0.3306	-0.4691	31.7993	-25.3296	-140.5029
-1.7991	0.3728	-0.4254	29.7241	-119.6289	-107.7271
-2.0508	0.3600	-0.4635	42.7856	-193.8477	-72.9370
-2.6564	0.3285	-0.5283	60.3027	-234.5581	-45.5933
-3.1086	0.1793	-0.5874	76.8433	-211.7310	-24.8413
-3.0677	-0.0243	-0.6510	82.8247	-123.6572	-15.0757
-2.6718	-0.1730	-0.6757	68.8477	-16.4795	-11.9019
-2.1375	-0.2089	-0.6033	37.4756	62.9883	-6.5918
-1.6927	-0.1671	-0.4670	4.7607	95.2759	2.0752
-1.4208	-0.0994	-0.3260	-15.8691	86.1816	10.6812
-1.4000	-0.0372	-0.2332	-22.8882	56.0303	18.7988
-1.4702	-0.0273	-0.2108	-20.5078	27.4048	29.5410
-1.5740	-0.0493	-0.2091	-16.7236	14.0381	40.7104
-1.7297	-0.0568	-0.1875	-17.7002	18.0054	51.3916
-1.8192	-0.0522	-0.1344	-23.8037	40.8325	62.5610
-1.9600	0.0049	-0.0667	-30.1514	78.3691	70.4956
-2.0059	0.0151	-0.0255	-31.6772	128.2349	75.6836
-1.8248	-0.0272	-0.0018	-30.5176	184.0820	81.6650
-1.5999	-0.0570	0.0286	-33.0200	229.2480	89.7217
-1.3943	-0.0459	0.0922	-41.5039	257.5073	99.3652
-1.2036	-0.0040	0.1732	-49.4385	268.1885	111.6333
-1.0669	0.0428	0.2600	-50.9644	260.8643	121.7651
-1.0211	0.0723	0.3112	-44.6777	241.6992	130.4932
-0.9960	0.0496	0.3437	-35.6445	221.3745	139.3433
-0.9648	-0.0415	0.3508	-27.8931	205.2612	146.8506
-0.8179	-0.1294	0.3591	-26.0010	196.1060	151.6724
-0.6720	-0.1655	0.3749	-32.5928	191.0400	153.1372
-0.5820	-0.1486	0.4038	-42.1753	182.0679	148.6816
-0.5620	-0.1278	0.4255	-49.0723	173.4009	143.4326
-0.5233	-0.0735	0.4507	-52.7954	169.8608	139.0381
-0.4784	-0.0533	0.4741	-53.2227	169.4946	138.1226
-0.4094	-0.0410	0.5024	-51.5747	167.1753	138.6108
-0.3330	-0.0394	0.5449	-50.4150	161.5601	138.6719
-0.2557	-0.0664	0.5837	-47.1802	150.5127	140.2588
-0.2401	-0.0564	0.6249	-44.2505	138.8550	139.0381
-0.2639	-0.0690	0.6362	-41.5649	130.0049	135.0708
-0.2476	-0.0991	0.6362	-40.8325	127.6245	129.0283
-0.2032	-0.1315	0.6263	-38.6963	124.6338	123.8403
-0.1180	-0.1479	0.6223	-37.9639	120.9717	119.3237
-0.1107	-0.1451	0.6315	-39.4287	114.1968	113.4644
-0.1356	-0.1051	0.6426	-40.2222	103.2715	106.9336
-0.1726	-0.1052	0.6681	-38.8794	91.0645	104.9194
-0.2275	-0.1151	0.6852	-36.8652	79.7729	105.8350
-0.2168	-0.1266	0.6998	-36.4990	72.4487	106.5674
-0.2413	-0.1382	0.7120	-37.1094	66.5894	104.6753
-0.2683	-0.1351	0.7268	-37.4756	63.5376	101.6846
-0.2034	-0.1482	0.7438	-37.2314	63.9038	100.2197
-0.1228	-0.1827	0.7566	-37.1094	64.5142	97.4731
-0.0964	-0.1888	0.7847	-37.0483	61.4624	92.5903
-0.1154	-0.1578	0.8159	-36.3159	56.9458	88.4399
-0.0924	-0.1421	0.8442	-34.0576	54.1382	85.5713
-0.0300	-0.1698	0.8619	-29.7852	52.6123	84.9609
-0.0609	-0.1746	0.8691	-25.2075	48.8892	80.1392
-0.1058	-0.1774	0.8790	-22.7661	47.3022	74.4019
-0.1122	-0.1907	0.8894	-20.6909	49.2554	75.0122
-0.0873	-0.2062	0.9014	-17.8833	51.2085	76.6602
0.0017	-0.2174	0.9175	-14.4653	52.7954	75.6226
0.0944	-0.2263	0.9215	-11.2305	52.4292	69.7632
0.1520	-0.2500	0.9106	-8.0566	48.0347	61.1572
0.1896	-0.2668	0.8917	-6.2866	39.7949	53.2227
0.2142	-0.2833	0.8729	-8.8501	31.3110	44.9829
0.1630	-0.2734	0.8735	-11.7187	18.0054	36.0107
0.0522	-0.2281	0.8947	-14.9536	7.6294	30.5176
-0.0405	-0.1698	0.9316	-17.6392	5.1270	28.3203
-0.0480	-0.1639	0.9697	-17.1509	10.7422	30.2124
-0.0133	-0.1812	0.9885	-13.0005	18.7988	35.8276
0.0471	-0.2284	0.9977	-7.6904	21.9116	37.9639
0.0905	-0.2443	0.9943	-2.8687	19.2871	34.7900
0.1136	-0.2574	0.9854	-1.1597	13.7939	27.4048
0.1244	-0.2776	0.9698	-1.2207	8.4229	21.1792
0.0979	-0.3064	0.9490	0.1221	-1.3428	15.9302
0.0302	-0.2964	0.9380	-2.9907	-8.3618	6.5308
-0.0864	-0.2488	0.9448	-7.7515	-8.6670	0.1831
-0.1146	-0.2352	0.9688	-8.3618	-4.6997	3.5400
-0.1208	-0.2288	0.9910	-5.8594	1.7700	6.7749
-0.1021	-0.2161	1.0043	-3.8452	10.8032	8.4839
-0.0609	-0.2358	1.0093	-0.0610	15.6860	10.0708
-0.0085	-0.2618	1.0044	3.4180	16.5405	9.4604
0.0238	-0.2795	0.9958	4.6387	14.0381	5.9204
0.0092	-0.2806	0.9783	5.3101	7.3242	3.2959
-0.0222	-0.3120	0.9518	7.5684	-4.2114	1.1597
-0.0609	-0.3293	0.9214	5.4321	-10.6201	-3.6621
-0.1331	-0.3069	0.9115	-0.1831	-10.3149	-8.0566
-0.2281	-0.2607	0.9185	-4.0283	-5.0049	-9.8267
