aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.5608	0.7212	0.3240	39.9780	308.5327	-14.2212
-0.4961	0.7065	0.3358	31.3721	329.0405	-17.3340
-0.4227	0.7073	0.3713	24.8413	342.6514	-17.6392
-0.3585	0.7253	0.4066	19.1040	351.5625	-19.2261
-0.2748	0.7433	0.4451	13.7939	353.9429	-21.3623
-0.1696	0.7202	0.4957	8.6670	349.4263	-24.7192
-0.0768	0.6720	0.5542	5.5542	337.5854	-26.8555
-0.0394	0.6638	0.6180	5.6152	319.0918	-26.2451
-0.0017	0.6830	0.6641	8.9722	295.6543	-27.7710
0.0210	0.6750	0.6837	15.1978	265.6250	-28.4424
0.0392	0.6852	0.6888	21.7896	234.3750	-26.4893
0.0620	0.6993	0.6924	27.5269	202.6367	-22.5220
0.0914	0.7050	0.7020	32.4097	172.9126	-17.0898
0.1329	0.7151	0.7067	35.4614	145.9351	-12.8784
0.1509	0.7371	0.7137	37.5366	122.1313	-10.8643
0.1255	0.7556	0.7274	38.8184	100.1587	-10.3149
0.0516	0.7653	0.7401	39.9170	80.6885	-9.8877
-0.0303	0.7719	0.7542	40.4663	67.8711	-9.2773
-0.0942	0.7833	0.7651	42.0532	62.1948	-7.8735
-0.1375	0.7758	0.7632	44.7388	63.9038	-6.5308
-0.1429	0.7615	0.7511	47.7905	71.5332	-5.7373
-0.1323	0.7393	0.7334	50.7813	82.3975	-5.3711
-0.1028	0.7191	0.7137	53.1006	94.7876	-3.9062
-0.0616	0.6995	0.6996	53.7720	105.8960	-1.5869
-0.0162	0.6761	0.6886	52.6733	115.0513	0.4883
0.0305	0.6621	0.6801	50.4150	120.7275	3.3569
0.0635	0.6442	0.6740	47.4243	122.5586	5.4321
0.0979	0.6285	0.6736	44.0063	121.2769	7.2632
0.1218	0.6145	0.6775	41.0767	117.6147	9.7046
0.1415	0.6017	0.6777	39.6729	112.4268	11.7798
0.1646	0.5996	0.6841	39.3677	105.7739	13.0005
0.1777	0.6090	0.7015	39.7949	98.0835	14.4043
0.1560	0.6311	0.7208	42.6025	91.7969	16.4795
0.1617	0.6176	0.7308	46.4478	87.7686	21.5454
0.2162	0.5889	0.7328	49.8047	84.5947	29.1138
0.2535	0.5900	0.7455	52.0630	81.7871	33.9966
0.2378	0.6049	0.7635	54.5654	77.8809	37.3535
0.2249	0.6038	0.7621	58.1055	73.3643	41.1987
0.2635	0.5865	0.7568	61.0962	67.5049	45.0439
0.2898	0.5870	0.7745	63.4766	59.8145	46.3257
0.2583	0.6122	0.7972	67.4438	54.1992	46.2646
0.2439	0.6060	0.8198	72.3877	50.7813	48.5840
0.2682	0.5785	0.8281	78.4912	50.4761	51.7578
0.2897	0.5605	0.8312	84.9609	50.5981	51.7578
0.2648	0.5635	0.8456	90.3931	49.6826	50.4761
0.2451	0.5620	0.8364	94.6045	47.4243	50.3540
0.2571	0.5413	0.8466	97.9004	43.7012	49.5605
0.2457	0.5322	0.8507	101.3184	39.7339	47.4243
0.2692	0.5135	0.8422	104.9805	36.0718	46.5088
0.2980	0.4861	0.8571	107.0557	31.0669	45.2271
0.2855	0.4989	0.8663	110.0464	26.1841	42.3584
0.2686	0.4927	0.8623	114.5020	21.4233	41.2598
0.2751	0.4573	0.8488	119.8120	16.7236	41.4429
0.2732	0.4305	0.8420	123.4741	11.5356	41.1987
0.2722	0.4045	0.8295	125.6714	6.2256	40.1001
0.2747	0.3733	0.8221	126.0986	0.3052	38.3301
0.2568	0.3605	0.8333	124.9390	-6.2866	36.6211
0.2030	0.3690	0.8438	123.1689	-14.4653	36.5601
0.1810	0.3466	0.8414	122.1924	-21.8506	37.9639
0.1818	0.3207	0.8368	121.3989	-27.0996	39.4897
0.1608	0.3191	0.8390	119.9951	-28.9307	39.1846
0.1415	0.3250	0.8368	119.0796	-29.0527	39.3677
0.1436	0.3025	0.8352	118.5913	-29.3579	40.1611
0.1309	0.2776	0.8490	118.1030	-28.6865	39.1846
0.0937	0.2711	0.8590	118.0420	-25.7568	37.1704
0.0940	0.2545	0.8528	118.7744	-21.3623	35.4614
0.1355	0.2200	0.8494	118.6523	-17.5171	34.7290
0.1643	0.1896	0.8466	116.8213	-14.8315	34.1187
0.1880	0.1705	0.8422	113.0981	-14.0381	34.2407
0.2057	0.1617	0.8558	108.1543	-15.8691	34.7900
0.2129	0.1694	0.8768	103.2715	-20.0195	36.7432
0.2245	0.1716	0.8884	100.5859	-24.8413	40.6494
0.2335	0.1582	0.8871	99.9756	-29.2969	44.2505
0.2097	0.1309	0.8939	100.2808	-33.4473	44.7998
0.1688	0.1121	0.9006	101.1963	-35.9497	42.9688
0.1528	0.0952	0.9052	103.2715	-36.8652	39.5508
