aX	aY	aZ	gX	gY	gZ	
0.5822	0.0455	-0.0996	-57.0679	135.0708	-30.8228
0.3677	0.3856	-0.1072	-178.8940	11.7798	-88.1348
-0.3668	0.6764	-0.1946	-246.5210	-111.7554	-130.1880
-0.9667	0.8435	-0.2479	-276.6113	-179.8706	-156.1279
-1.2008	0.9247	-0.1996	-288.2690	-184.3262	-160.2173
-1.1919	0.9363	-0.1338	-291.4429	-145.9961	-146.1182
-1.1532	0.9238	-0.0215	-292.3584	-92.2852	-124.6338
-1.0769	0.9214	0.0962	-289.5508	-44.9829	-95.4590
-0.9473	0.9220	0.1606	-285.2783	-5.7373	-60.9741
-0.7750	0.8972	0.1769	-280.2734	26.8555	-26.6724
-0.6129	0.8928	0.2404	-276.3062	49.9268	3.2349
-0.4657	0.9181	0.3108	-271.1182	60.2417	27.8931
-0.3413	0.9644	0.3864	-263.9160	56.0913	41.9312
-0.2734	0.9867	0.4258	-253.9062	42.0532	41.8701
-0.2605	0.9884	0.4266	-241.0889	24.3530	31.7993
-0.2804	0.9846	0.4060	-230.4687	9.3384	15.8081
-0.3135	0.9850	0.3799	-220.7642	0.7324	0.1831
-0.3243	1.0043	0.3792	-214.5996	0.1221	-11.9629
-0.3386	1.0208	0.3658	-204.2847	3.6011	-19.8364
-0.3383	0.9991	0.3322	-188.8428	9.1553	-24.9634
-0.3336	0.9634	0.3018	-171.9971	12.1460	-27.2217
-0.3444	0.9218	0.2637	-154.4800	13.0615	-27.4048
-0.3613	0.8942	0.2256	-137.4512	12.5732	-27.9541
-0.3973	0.8822	0.1931	-120.0562	12.0850	-27.8931
-0.4290	0.8800	0.1667	-102.9663	13.0615	-27.1606
-0.4352	0.8755	0.1343	-86.9751	15.6250	-26.1841
-0.4172	0.8610	0.1042	-72.2656	18.4326	-25.0854
-0.3940	0.8496	0.0745	-60.3027	20.0195	-23.1934
-0.3843	0.8440	0.0397	-51.4526	20.3857	-21.0571
-0.3613	0.8459	0.0115	-46.6309	19.4092	-18.0664
-0.3312	0.8608	-0.0076	-46.5088	16.9067	-14.6484
-0.3197	0.8813	-0.0153	-49.0723	12.8784	-12.3291
-0.3479	0.9039	-0.0233	-53.0396	8.4229	-11.3525
-0.3826	0.9272	-0.0391	-56.9458	4.7607	-10.9253
-0.4020	0.9290	-0.0533	-60.0586	2.1362	-10.4980
-0.4263	0.9100	-0.0782	-62.1948	0.3662	-9.7046
-0.4373	0.8796	-0.0969	-64.4531	-0.1831	-7.8125
-0.4279	0.8481	-0.1062	-67.5049	-0.4883	-3.8452
-0.4146	0.8257	-0.1261	-70.0073	-2.3193	1.4038
-0.4061	0.8123	-0.1395	-73.2422	-6.0425	7.8735
-0.4183	0.8232	-0.1425	-75.5615	-10.8643	14.0991
-0.4263	0.8392	-0.1422	-76.3550	-15.4419	18.6768
-0.4200	0.8365	-0.1460	-76.3550	-18.1885	20.8740
-0.4149	0.8390	-0.1460	-76.4160	-20.0195	22.2168
-0.4037	0.8276	-0.1533	-75.5615	-20.6299	23.2544
-0.4008	0.8157	-0.1460	-75.5615	-21.0571	25.2075
-0.3972	0.8300	-0.1228	-76.1719	-21.4844	30.1514
-0.3562	0.8229	-0.0714	-76.8433	-22.3389	38.1470
-0.2582	0.8441	-0.0150	-76.6602	-25.0244	46.9360
-0.2068	0.9031	0.0898	-71.8994	-33.2642	55.8472
-0.3801	0.9598	0.2407	-53.8940	-43.8232	64.8804
-0.6650	1.0095	0.4938	-17.8223	-46.5698	76.5381
-0.9028	1.0891	0.7653	42.6636	-43.7012	94.2993
-0.8983	1.1777	1.1660	124.1455	-28.7476	119.9341
-0.7965	1.3658	1.1237	233.5205	-6.9580	152.5879
-0.5948	1.3734	0.8811	372.0703	10.8643	176.1475
-0.3784	1.4548	0.8289	501.5259	39.4287	190.9180
-0.0377	1.7729	0.6135	640.0146	75.9888	177.4902
0.0223	1.8485	0.0247	776.6724	95.5200	117.1265
-0.4170	1.9716	-0.1737	874.6948	122.1313	48.4619
-0.2465	2.2911	-0.4968	953.1860	156.3110	4.6387
-0.0548	2.3455	-0.8007	984.1919	162.5977	-12.6953
-0.1555	1.3973	-1.0922	922.3633	153.6255	6.4087
-0.2871	-0.6821	-1.3409	722.8394	164.3066	52.2461
-0.8008	-1.8409	-0.4680	389.8315	182.6172	85.8154
-0.5101	-0.7235	0.2839	83.0078	172.5464	55.1758
0.3661	0.3398	0.0845	-100.0366	114.8071	-8.3008
0.6791	0.2477	-0.0626	-203.1250	7.0801	-86.9141
0.0765	0.6997	-0.0040	-275.1465	-137.9395	-151.6724
-0.9247	1.1012	-0.0510	-298.2178	-232.4829	-199.2798
-1.7643	1.2339	-0.0671	-284.7290	-242.5537	-218.0786
-2.1074	1.2198	0.0865	-259.8877	-182.8613	-185.4858
-1.9202	1.1476	0.2664	-227.4780	-86.4258	-120.4224
-1.4702	1.0270	0.4196	-191.2842	1.3428	-53.5278
-1.0309	0.8678	0.5049	-161.0107	60.1196	-3.7842
-0.7040	0.7306	0.5341	-144.2261	87.2803	25.6958
-0.4501	0.6729	0.5433	-141.3574	89.1724	41.5039
-0.2631	0.6974	0.5834	-147.5220	75.4395	46.8140
-0.1344	0.7423	0.5979	-154.7852	57.0679	42.1143
-0.0990	0.7563	0.5790	-160.2173	35.0342	28.8696
-0.1587	0.7767	0.5518	-165.0391	12.4512	11.0474
-0.2867	0.8163	0.5291	-169.2505	-3.1128	-6.3477
-0.4135	0.8662	0.5049	-171.3257	-6.5918	-20.3247
-0.4777	0.9053	0.4769	-170.2271	1.8921	-30.5176
-0.4971	0.9164	0.4253	-165.4053	18.3716	-36.1328
-0.4788	0.8942	0.3790	-158.1421	35.6445	-37.3535
-0.4502	0.8545	0.3320	-151.0620	49.1943	-34.3018
-0.4503	0.8221	0.2916	-144.1650	57.8003	-28.6255
-0.4441	0.8131	0.2632	-137.0850	62.8662	-21.1182
-0.3960	0.8184	0.2444	-130.0659	63.4155	-13.9771
-0.3518	0.8219	0.2517	-122.8027	59.6924	-9.8877
-0.3235	0.8247	0.2571	-114.9292	52.9175	-10.1929
-0.2850	0.8250	0.2565	-107.0557	42.0532	-13.8550
-0.2837	0.8202	0.2526	-100.1587	28.9917	-18.6768
