aX	aY	aZ	gX	gY	gZ	
0.1375	-0.9076	-0.4554	206.7871	24.5361	62.5610
0.1368	-0.8945	-0.4633	197.3877	20.4468	67.4438
0.1744	-0.8643	-0.4479	189.8193	18.6768	72.7539
0.1730	-0.8613	-0.4896	184.8755	14.4043	75.5615
0.1305	-0.8677	-0.5160	180.7861	10.1929	75.5005
0.1018	-0.8516	-0.5465	177.6123	7.5684	73.9136
0.1007	-0.8245	-0.5688	175.1709	6.8359	70.6177
0.1143	-0.7887	-0.5597	174.8657	10.7422	66.3452
0.1039	-0.7651	-0.5867	177.8564	18.4326	61.2793
0.0973	-0.7356	-0.5844	182.1289	27.8320	56.6406
0.1475	-0.7155	-0.6222	188.5986	38.2080	51.8188
0.2344	-0.7327	-0.6998	192.3218	44.4946	48.4009
0.2852	-0.7783	-0.7625	186.6455	46.1426	46.1426
0.2990	-0.8179	-0.8153	172.7295	47.6074	43.2739
0.3636	-0.8750	-0.9341	152.0386	46.7529	38.2080
0.4663	-1.0040	-1.1221	117.6758	38.3911	28.3813
0.5983	-1.2167	-1.3837	58.4106	28.8696	10.4980
0.7028	-1.3308	-1.4224	-32.8979	19.8975	-16.1743
0.7057	-1.3185	-1.3243	-133.9722	7.0801	-55.2368
0.6555	-1.2501	-1.6805	-232.4219	-14.7705	-107.7881
0.6489	-1.0295	-1.8378	-343.4448	-55.7861	-159.2407
0.6592	-0.8240	-2.1934	-460.8765	-112.7930	-197.6318
0.7380	-0.7107	-2.6140	-577.3926	-161.6821	-227.8442
0.8993	-0.4951	-2.8328	-688.7817	-192.3218	-262.6953
0.9357	-0.0448	-2.7605	-776.4282	-209.5337	-316.4673
0.7327	0.4639	-2.3756	-830.7495	-228.1494	-379.2725
0.5040	0.6268	-1.7833	-840.2100	-253.6011	-428.5889
0.1945	0.6604	-0.9014	-809.8755	-278.5645	-450.0732
-0.4397	0.5618	0.0081	-735.7788	-299.5605	-459.2896
-1.7424	0.4175	0.8356	-627.9907	-306.2134	-447.9980
-2.4911	0.6012	1.7228	-511.6577	-262.7563	-387.5122
-2.5292	0.6970	2.2217	-361.5112	-162.9639	-287.5366
-2.3837	0.7096	2.2323	-193.2373	-34.7900	-162.4146
-1.7152	0.6427	2.0238	-44.1284	68.2983	-31.4941
-0.9764	0.3838	1.7213	70.1294	125.1831	75.1953
-0.5128	0.1337	1.3752	145.3247	133.2397	142.9443
-0.2705	-0.0480	1.0228	184.5703	111.0229	175.5981
-0.1293	-0.1534	0.7454	195.4346	78.4912	183.3496
-0.1510	-0.2683	0.5681	190.0024	49.1333	172.8516
-0.2450	-0.4139	0.4534	178.8330	29.6631	152.8320
-0.3386	-0.5502	0.3596	168.2739	21.7896	131.8359
-0.5366	-0.6976	0.3873	157.3486	24.5972	114.8071
-0.5045	-0.7356	0.4628	149.7192	37.6587	101.7456
-0.4447	-0.8533	0.3685	159.4849	49.7437	90.2100
-0.4475	-0.9155	0.3079	165.7715	63.5986	86.9141
-0.3430	-1.0259	0.2474	170.3491	74.7681	88.2568
-0.3341	-1.0859	0.2059	173.2788	80.6274	93.1396
-0.2321	-1.1047	0.1686	171.5088	86.0596	103.0884
-0.0940	-1.1176	0.1117	170.4102	87.1582	112.0605
-0.0538	-1.1072	0.0514	169.4336	80.7495	118.4692
-0.0508	-1.0907	0.0382	166.1987	69.8853	123.4131
-0.0380	-1.0862	0.0122	166.9312	61.2183	126.5869
-0.0450	-1.0626	-0.0394	171.8750	56.7627	127.3193
-0.0682	-1.0450	-0.0703	178.2837	56.7017	125.1831
-0.0668	-1.0238	-0.0867	184.9976	61.9507	122.3755
0.0049	-1.0105	-0.1221	192.6880	73.1201	119.5068
0.1152	-1.0004	-0.1715	197.6929	84.6558	115.7227
0.2047	-1.0018	-0.2264	196.7773	90.0269	109.8633
0.2648	-1.0129	-0.2699	187.9272	87.9517	101.9897
0.2932	-1.0165	-0.3076	174.1333	81.0547	92.8345
0.2478	-1.0117	-0.3376	156.7383	71.1670	83.6182
0.1831	-1.0121	-0.3495	138.6108	61.9507	75.1953
0.1735	-0.9954	-0.3356	124.2676	57.3730	68.9697
0.1411	-0.9728	-0.3350	116.3330	54.1992	63.8428
0.0587	-0.9685	-0.3363	111.1450	52.3071	59.3262
0.0312	-0.9565	-0.3300	109.5581	55.1758	56.2744
0.0734	-0.9424	-0.3589	111.2671	61.0962	54.0161
0.1442	-0.9554	-0.3920	112.4878	67.5659	51.5747
0.2028	-0.9792	-0.4371	109.3750	69.2749	48.3398
0.2260	-0.9854	-0.4672	100.3418	64.7583	43.6401
0.2383	-0.9717	-0.4601	87.7075	56.0913	38.7573
0.2397	-0.9564	-0.4526	76.1719	44.6167	35.5835
0.2136	-0.9436	-0.4414	67.0166	34.0576	32.7148
0.1674	-0.9279	-0.4315	61.8896	26.0620	30.2124
0.1232	-0.8999	-0.4308	61.2183	23.0103	28.4424
0.0876	-0.8726	-0.4187	64.8804	24.1699	27.9541
0.0970	-0.8480	-0.4044	72.9370	29.2969	29.9072
0.1210	-0.8365	-0.4272	84.1064	36.4380	32.8979
0.1500	-0.8561	-0.4803	94.3604	44.1284	34.9731
0.1814	-0.8821	-0.5212	99.0601	51.0864	35.6445
0.1912	-0.8973	-0.5541	98.2056	54.9316	33.8745
0.1771	-0.8949	-0.5925	94.2383	56.5186	29.9683
0.1411	-0.8661	-0.6018	89.3555	58.5327	26.0010
0.1116	-0.8346	-0.5955	87.5244	63.7817	23.2544
0.1027	-0.8055	-0.6150	89.9658	70.2515	19.7754
0.0764	-0.7678	-0.6113	95.5200	79.3457	18.4326
0.0754	-0.7454	-0.6346	103.9429	92.0410	18.8599
0.1560	-0.7491	-0.6764	112.7319	103.1494	18.1274
0.3472	-0.8513	-0.8549	114.4409	104.4922	16.2964
0.6719	-1.1062	-1.1332	88.9282	92.1631	10.9253
0.9198	-1.4363	-1.2019	16.9678	59.3262	-9.0332
0.8156	-1.6625	-1.1895	-97.2900	16.2354	-46.6309
0.5604	-1.7639	-1.9410	-231.4453	-33.8745	-97.5342
0.4762	-1.5122	-2.4905	-407.4097	-100.2808	-156.9214
0.8142	-0.8860	-2.7502	-582.0312	-160.0952	-220.2759
1.2633	-0.2926	-2.8275	-691.1621	-224.2432	-289.0625
1.3132	0.1246	-2.7924	-746.0937	-285.5835	-365.6616
0.8147	0.4780	-2.1727	-777.7710	-319.3970	-431.9458
0.1515	0.5092	-1.5720	-768.2495	-337.5854	-456.3599
-0.4471	0.5381	-0.6458	-734.6191	-345.0317	-450.9277
-1.1006	0.4640	0.1107	-664.4287	-339.1724	-438.5376
-1.8618	0.5138	0.8176	-586.3037	-302.4292	-410.9497
-2.3821	0.6316	1.5159	-492.7979	-222.0459	-356.5674
-2.4701	0.7927	2.0115	-369.6899	-122.1313	-257.8735
-2.5004	0.8442	2.3362	-220.1538	-16.8457	-133.0566
-1.8903	0.8599	2.2957	-62.3169	68.7256	-3.6621
-1.1747	0.6670	1.9856	78.8574	118.5913	106.4453
-0.7484	0.3667	1.6003	183.3496	127.5024	187.2559
-0.3939	0.1173	1.2017	249.6948	113.9526	231.9336
-0.1826	-0.0659	0.8739	285.6445	92.6514	243.1030
-0.1431	-0.2512	0.5831	302.6733	69.6411	232.6660
-0.2670	-0.4839	0.2701	309.9976	52.7954	214.5386
-0.3708	-0.5797	0.2920	298.9502	58.7158	197.4487
-0.3568	-0.7817	0.0433	298.2788	74.8291	177.0630
