aX	aY	aZ	gX	gY	gZ	
-1.3198	0.1692	0.5255	-23.0713	28.9307	-54.1382
-1.3359	0.2576	0.8438	42.3584	59.6313	-19.5923
-1.3687	0.5155	1.3429	138.3667	78.1860	17.8223
-1.4827	0.8387	1.5619	283.2642	109.8633	55.4810
-1.3014	1.1099	1.3014	455.9937	146.6064	84.6558
-1.0728	1.2644	0.9323	618.1030	160.9497	103.8818
-1.1356	1.2444	0.5151	737.3657	172.5464	107.8491
-0.9659	1.1974	0.0919	805.8472	206.0547	117.7368
-0.3296	1.1367	-0.1704	827.6978	214.1724	153.5034
0.0231	0.9000	-0.4580	811.0962	169.7388	201.5381
-0.1832	0.4689	-0.8687	756.5308	100.8911	233.3374
-0.5796	-0.2314	-1.2765	666.2598	36.1328	218.7500
-1.0734	-0.9406	-1.4464	540.2832	5.7373	158.8135
-1.2704	-1.2865	-1.4464	403.0762	21.0571	83.6792
-1.0692	-0.9562	-1.3949	273.8037	52.1240	23.8647
-0.7998	-0.2325	-1.4019	173.4009	77.5146	-2.6245
-0.6445	0.1875	-1.3674	113.4644	84.1675	-11.8408
-0.6709	0.3132	-1.2708	81.4209	65.1245	-11.6577
-0.8871	0.2018	-1.2180	65.9180	31.0669	-7.9956
-1.0840	-0.0151	-1.1649	51.3306	3.2959	-13.6108
-1.1815	-0.1837	-1.0836	30.9448	-8.7891	-24.7192
-1.1840	-0.2930	-0.9696	5.9814	-9.0942	-30.5176
-1.1554	-0.3503	-0.8530	-18.8599	-4.8828	-29.7852
-1.1165	-0.3541	-0.7587	-41.4429	-1.2817	-26.3062
-1.0654	-0.3345	-0.6870	-58.7158	-1.2817	-23.6816
-0.9635	-0.3239	-0.6372	-70.2515	-4.5776	-23.1323
-0.8485	-0.3416	-0.6162	-78.2471	-15.9912	-22.5220
-0.8080	-0.3655	-0.6111	-86.2427	-36.0718	-23.6206
-0.8389	-0.3901	-0.5919	-96.3135	-60.1196	-25.5737
-0.9319	-0.4041	-0.5642	-108.8867	-77.3315	-28.4424
-0.9839	-0.4240	-0.5377	-121.4600	-80.2002	-31.1890
-0.9772	-0.4532	-0.5082	-136.1084	-73.1812	-33.4473
-0.9163	-0.4437	-0.5260	-152.4658	-63.7207	-35.8276
-0.8470	-0.4061	-0.5509	-168.8843	-62.5610	-39.3066
-0.8481	-0.3679	-0.5605	-185.9131	-67.8101	-41.2598
-0.8634	-0.3271	-0.5474	-202.2095	-69.3970	-41.7480
-0.8478	-0.2996	-0.5868	-214.9658	-68.2373	-41.8091
-0.7899	-0.3081	-0.6252	-227.1729	-69.2749	-41.8091
-0.7308	-0.2670	-0.6117	-242.3706	-73.8525	-42.8467
-0.7271	-0.2203	-0.6213	-253.3569	-83.9233	-46.9971
-0.8038	-0.1824	-0.5305	-262.5122	-95.5200	-52.7344
-0.9148	-0.1266	-0.4049	-265.2588	-98.5107	-57.3730
-1.0083	-0.0613	-0.4036	-257.3242	-92.6514	-62.0728
-1.0386	-0.1045	-0.3260	-242.1875	-82.6416	-66.8335
-1.0596	-0.1277	-0.1962	-225.5249	-65.4297	-67.2607
-1.0813	-0.1443	-0.0798	-202.4536	-42.6636	-62.3779
-1.0460	-0.2081	-0.0449	-176.0864	-21.1182	-54.7485
-0.9492	-0.3099	-0.0656	-155.3345	-6.1646	-45.8374
-0.8782	-0.3794	-0.0940	-145.9961	-0.9766	-42.0532
-0.8376	-0.3778	-0.1273	-146.1792	-2.9297	-40.8936
-0.7941	-0.3477	-0.2377	-150.6348	-11.1694	-41.7480
-0.7883	-0.3113	-0.2338	-159.4238	-23.9258	-46.1426
-0.8698	-0.2230	-0.1921	-166.3208	-35.8276	-51.9409
-0.9669	-0.1935	-0.1630	-162.6587	-45.0439	-53.2837
-1.0463	-0.2083	-0.0894	-152.6489	-46.9360	-49.1943
-1.1058	-0.2284	-0.0349	-136.2305	-39.2456	-37.0483
-1.1382	-0.2562	-0.0105	-117.9810	-25.4517	-21.3623
-1.1045	-0.2915	-0.0337	-102.6611	-8.3008	-7.9956
-0.9734	-0.3035	-0.0588	-94.5435	4.3335	0.5493
-0.8755	-0.2975	-0.0638	-93.3838	5.1270	3.6011
-0.8134	-0.2958	-0.0850	-96.8628	-3.1128	1.4648
-0.7687	-0.3041	-0.1099	-102.9663	-17.5781	-4.6387
-0.7374	-0.2740	-0.1514	-111.3281	-35.9497	-13.4277
-0.7250	-0.2676	-0.2278	-117.5537	-54.8706	-23.1323
-0.8671	-0.2349	-0.1842	-124.0234	-69.6411	-32.8979
-1.1411	-0.1743	-0.0530	-121.7041	-70.3735	-34.9121
-1.2344	-0.1646	0.0511	-105.1636	-53.4668	-24.7803
-1.2689	-0.1376	0.1777	-78.4912	-25.0244	-10.0098
-1.2372	-0.0789	0.3147	-43.1519	6.9580	7.4463
-1.1161	0.0028	0.4034	2.0752	32.7148	25.2075
-1.0537	0.0730	0.4884	53.5889	46.3257	34.2407
-1.1688	0.1329	0.5726	111.8774	51.8799	37.2925
-1.2896	0.2125	0.7013	178.3447	62.6221	45.0439
-1.2731	0.3514	0.7579	259.5215	85.7544	62.3169
-1.1661	0.5121	0.8381	353.5767	110.1685	84.6558
-1.0968	0.7260	0.8533	455.3833	127.6245	102.6611
-0.9835	0.8451	0.6462	558.9600	131.9580	119.3237
-0.9019	0.6656	0.2833	630.6152	121.9482	137.0850
-0.8292	0.3434	0.0558	644.5923	117.6758	154.4189
-0.7340	0.1722	-0.1208	628.8452	111.1450	174.4385
-0.7429	0.0342	-0.4465	596.6187	96.1304	185.8521
-0.8535	-0.1615	-0.7957	547.1802	79.6509	183.0444
-0.9771	-0.3914	-1.0997	481.1401	76.9653	163.2690
-0.9655	-0.6003	-1.2498	400.2075	88.5620	136.4746
-0.8947	-0.6356	-1.3285	311.5234	99.7314	110.7178
-0.8135	-0.4449	-1.3092	227.1118	99.2432	90.8203
-0.8538	-0.1348	-1.2719	159.1797	88.7451	74.0967
-0.8442	0.0621	-1.2638	116.2720	73.3643	58.4717
-0.7997	0.0336	-1.2397	89.4165	52.2461	42.7246
-0.8433	-0.1372	-1.2323	67.9321	29.4189	26.4282
-0.9185	-0.3130	-1.2136	43.7622	10.5591	10.4370
-0.9674	-0.3831	-1.1667	14.9536	2.0142	-2.6245
-0.9457	-0.3719	-1.0906	-13.6108	5.3711	-11.0474
-0.8560	-0.3610	-0.9780	-37.7808	12.2070	-15.8081
-0.7755	-0.3236	-0.8553	-55.7861	12.2070	-18.6768
-0.7460	-0.2930	-0.7717	-67.3828	2.9297	-21.6064
-0.7187	-0.3090	-0.7341	-74.5239	-11.5356	-23.9868
-0.7208	-0.3820	-0.7076	-81.9092	-27.1606	-24.9634
-0.7467	-0.4476	-0.6980	-92.8955	-39.1846	-26.7334
-0.7709	-0.5122	-0.7072	-108.6426	-47.1802	-30.2124
