aX	aY	aZ	gX	gY	gZ	
-2.3469	-0.4128	-1.2982	-413.3911	-404.8462	804.0161
-2.2689	-0.2451	-1.2148	-466.7358	-456.5430	900.8179
-1.5651	0.0671	-1.2170	-493.8354	-470.8252	942.8711
-1.0024	0.5524	-0.8392	-532.1655	-473.1445	930.7861
-0.8274	0.9940	-0.1844	-549.4385	-444.2749	839.0503
-0.5485	1.1104	0.4878	-498.1079	-385.8032	685.4248
-0.0563	0.8657	0.7517	-391.7847	-318.0542	492.4316
0.1493	0.6566	0.6134	-252.8076	-218.5059	283.0811
0.2068	0.3112	0.5752	-111.3281	-79.9561	88.2568
0.2549	0.3065	0.5179	-7.8735	29.7852	-108.4595
0.5369	-0.1371	0.4021	95.2148	135.8643	-212.2803
0.5969	-0.5999	0.2036	170.7153	203.4302	-284.4238
0.4093	-0.8114	-0.0187	195.5566	187.1338	-313.9648
0.0432	-0.7968	-0.2500	190.0635	122.6807	-304.5044
-0.3452	-0.6560	-0.4786	182.9224	66.5894	-272.0337
-0.7039	-0.6178	-0.6503	178.5278	35.4614	-234.0088
-0.9502	-0.5638	-0.7965	172.7295	19.7144	-211.6699
-1.0535	-0.5070	-0.8904	167.6636	20.0195	-197.0825
-1.1541	-0.5299	-0.9917	159.9121	29.7852	-188.1104
-1.2183	-0.5651	-1.0282	142.8833	41.9312	-180.8472
-1.1758	-0.5763	-0.9948	118.7744	52.7344	-172.4854
-1.0745	-0.5769	-0.8955	92.3462	57.2510	-161.3770
-0.9884	-0.5282	-0.7791	67.5049	53.2227	-146.7896
-0.9479	-0.5406	-0.7382	52.1851	42.8467	-132.6294
-0.9419	-0.5183	-0.6838	44.7998	33.5693	-120.4834
-0.9628	-0.4839	-0.6271	43.0908	30.0293	-112.5488
-0.9613	-0.4546	-0.5740	49.5605	34.3018	-108.2764
-0.9359	-0.3887	-0.5178	62.5610	43.0298	-103.5156
-0.9135	-0.3505	-0.5000	80.7495	53.6499	-98.8770
-0.8746	-0.2709	-0.5112	97.4121	64.6973	-93.5059
-0.7595	-0.3644	-0.5288	114.4409	75.6836	-78.5522
-0.7523	-0.3439	-0.5558	124.7559	91.0645	-92.2852
-0.7740	-0.3087	-0.5844	128.6621	103.8818	-91.3696
-0.7327	-0.3689	-0.5790	130.0049	105.8350	-84.2896
-0.6888	-0.3969	-0.5719	126.4648	101.1353	-83.1299
-0.7014	-0.3728	-0.5626	120.0562	94.8486	-86.7920
-0.7493	-0.3606	-0.5868	116.4551	88.1348	-93.6890
-0.7808	-0.3210	-0.5961	113.1592	80.4443	-101.0742
-0.8383	-0.2559	-0.5917	111.0840	75.4395	-108.2153
-0.8789	-0.2136	-0.5923	110.4736	77.0874	-115.1733
-0.8726	-0.1951	-0.5850	109.3140	81.1157	-119.0796
-0.8580	-0.2068	-0.5968	107.4829	84.2896	-119.5068
-0.8441	-0.2502	-0.6187	103.7598	85.2661	-119.0186
-0.8325	-0.2626	-0.6055	96.6187	84.1064	-117.3096
-0.8337	-0.2349	-0.5884	88.2568	80.5664	-113.8306
-0.8409	-0.2035	-0.5547	79.8340	74.0356	-110.4736
-0.8489	-0.1794	-0.5309	71.1060	66.2231	-107.7881
-0.8583	-0.1205	-0.4867	62.6831	59.7534	-105.2856
-0.8752	-0.0464	-0.4547	56.4575	55.3589	-104.3701
-0.8965	0.0344	-0.4131	53.0396	55.1758	-105.6519
-0.8921	0.0884	-0.3766	53.5278	58.5938	-108.8867
-0.8552	0.1017	-0.3680	55.7861	60.1807	-113.0371
-0.8341	0.1152	-0.3650	57.1899	57.5562	-117.9199
-0.8660	0.1317	-0.3597	59.7534	55.0537	-123.9624
-0.9138	0.1305	-0.3547	62.8052	55.7861	-129.8828
-0.9329	0.1135	-0.3440	65.5518	59.6924	-134.1553
-0.9254	0.1063	-0.3302	66.9556	65.6128	-138.2446
-0.9285	0.1304	-0.3268	67.9321	72.3267	-143.7988
-0.9327	0.1738	-0.3431	69.9463	80.3223	-148.9258
-0.9185	0.2211	-0.3398	71.5942	88.1958	-153.8696
-0.9122	0.2604	-0.3179	71.4722	95.2148	-160.5225
-0.8601	0.3065	-0.2881	69.2139	99.9146	-167.1753
-0.7919	0.3328	-0.2678	65.4907	96.6797	-169.4336
-0.9148	0.3259	-0.3242	59.8755	84.0454	-166.1377
-1.2109	0.2749	-0.3865	47.4854	69.9463	-148.6816
-1.5856	0.1959	-0.3669	24.0479	60.3638	-104.9194
-1.6748	0.1091	-0.4694	-7.2632	46.7529	-23.1934
-1.5341	0.0507	-0.6753	-58.2886	0.7324	118.4692
-1.5222	-0.1244	-0.9408	-130.9204	-84.5947	315.8569
-1.9232	-0.2928	-1.1462	-212.0361	-203.4302	498.1079
-2.2936	-0.2776	-1.2114	-303.7109	-321.5942	684.5703
-2.4723	-0.2944	-1.1124	-371.2769	-403.8696	843.6279
-2.0013	-0.2340	-0.9747	-410.4614	-457.4585	966.6138
-1.0118	-0.1313	-1.1152	-431.2744	-508.9111	1037.5366
-0.3905	0.2272	-1.0363	-476.6846	-579.1626	1043.5791
-0.8445	0.9496	-0.3961	-544.7998	-621.0937	957.7637
-1.3381	1.3396	0.3209	-544.5557	-575.8667	773.1934
-0.9963	1.3143	0.6755	-439.6973	-467.9565	548.0957
-0.4973	0.9606	0.6632	-278.4424	-316.8945	338.1958
-0.2452	0.4532	0.4985	-104.2480	-125.3052	120.5444
-0.1561	0.5724	0.3109	26.2451	40.1611	-86.7920
0.2772	-0.0774	0.1344	141.2354	185.6689	-182.8613
0.4773	-0.7034	-0.0132	225.0977	293.7012	-278.4424
0.4445	-0.9467	-0.1754	248.5962	294.2505	-357.1167
0.2408	-1.0410	-0.3917	242.1875	223.8159	-367.4316
-0.1183	-1.0331	-0.6223	231.5063	151.5503	-335.3271
-0.6234	-0.9978	-0.8417	212.5244	91.0645	-276.7334
-1.0769	-0.9816	-1.0131	181.3965	45.4102	-208.9233
-1.2485	-0.8798	-1.1031	146.5454	25.3296	-148.3765
-1.2067	-0.7192	-1.0907	116.1499	23.2544	-108.3374
-1.1719	-0.5654	-1.0078	91.2476	25.2075	-92.1021
-1.1863	-0.4586	-0.9054	74.2188	26.7944	-91.1255
-1.1910	-0.4199	-0.8126	66.2231	33.0811	-98.1445
-1.1130	-0.4127	-0.7229	63.4155	49.1333	-109.1919
-0.9590	-0.4104	-0.6223	62.4390	69.9463	-120.2393
-0.7448	-0.4200	-0.5583	62.5000	87.5854	-131.1646
-0.5703	-0.4408	-0.5239	63.4766	89.9658	-135.6812
-0.5190	-0.5089	-0.4902	63.6597	79.4678	-127.4414
-0.6932	-0.4242	-0.5250	58.1665	52.3682	-114.4409
-0.7782	-0.4296	-0.5354	63.7817	47.1191	-101.0742
-0.8997	-0.4156	-0.5588	67.5659	57.6782	-95.9473
-0.9009	-0.3345	-0.5688	62.7441	53.3447	-80.0781
-0.8240	-0.2552	-0.5656	58.6548	43.0908	-61.8286
-0.7821	-0.2385	-0.5656	59.3262	38.6963	-52.4292
-0.7994	-0.2449	-0.5663	61.7676	42.1753	-52.9785
-0.8147	-0.2552	-0.5774	64.0259	49.3164	-58.4717
-0.7507	-0.2930	-0.6108	65.4907	56.0303	-65.5518
-0.6492	-0.3342	-0.6143	62.4390	56.0913	-71.1670
-0.6361	-0.3889	-0.6378	55.7861	44.6167	-69.8853
-0.6753	-0.4194	-0.6517	51.4526	37.1094	-75.5005
-0.7919	-0.4014	-0.6633	45.8374	36.9873	-76.5991
