aX	aY	aZ	gX	gY	gZ	
-0.0602	-0.1981	0.7697	52.0630	58.8989	15.0146
-0.0291	-0.2152	0.7454	47.5464	56.4575	12.7563
-0.0011	-0.2242	0.7383	41.5039	52.3071	9.5825
0.0071	-0.2314	0.7443	34.6069	46.3257	6.5918
-0.0248	-0.2250	0.7617	28.8086	40.1001	4.2725
-0.0812	-0.2026	0.7870	27.0386	35.7666	3.1738
-0.1298	-0.2075	0.7987	30.0903	35.5225	3.7842
-0.1158	-0.2349	0.7717	35.3394	39.8560	6.7749
-0.0553	-0.2607	0.7229	39.6118	45.1050	10.0708
-0.0068	-0.2762	0.6826	40.4663	46.8750	11.4136
0.0392	-0.2986	0.6404	38.8794	43.6401	10.9253
0.0736	-0.3083	0.6143	35.0342	36.6821	9.8267
0.0852	-0.2920	0.6155	29.0527	26.7944	7.7515
0.0696	-0.2739	0.6138	24.2920	17.3340	4.2725
0.0426	-0.2747	0.6088	22.2168	9.7046	-0.1221
-0.0107	-0.2577	0.6039	22.0337	5.3101	-3.0518
-0.0298	-0.2515	0.5697	24.9634	6.8359	-5.1880
-0.0375	-0.2875	0.5045	29.1748	10.8643	-4.2725
0.0500	-0.2592	0.4196	31.6772	16.6626	-3.7842
0.1445	-0.2695	0.2887	35.2783	14.4043	-4.2725
0.1068	-0.3285	0.0848	36.9263	0.5493	-4.2114
0.2423	-0.3114	-0.1230	31.5552	-15.6860	-5.0049
0.3152	-0.3569	-0.3900	22.7051	-36.8042	-10.7422
0.3619	-0.3503	-0.6620	7.2632	-65.7349	-17.3950
0.3771	-0.2845	-0.9816	-10.6201	-97.9004	-25.3296
0.3437	-0.2982	-1.3391	-27.4658	-124.8169	-34.9121
0.2312	-0.3094	-1.6732	-48.9502	-140.9302	-43.8843
0.1079	-0.3201	-1.9292	-82.0313	-142.6392	-52.7344
0.0162	-0.3108	-2.0435	-132.9956	-123.2910	-59.5093
0.0028	-0.0846	-1.9132	-201.9653	-84.4727	-65.7349
0.0021	0.3044	-1.5446	-269.5923	-39.4897	-73.9136
-0.1052	0.9242	1.9473	-316.1011	-1.7090	-72.9370
