aX	aY	aZ	gX	gY	gZ	
-0.1221	-0.0312	0.1997	-89.0503	-33.5693	-75.4395
-0.0905	0.0062	0.1627	-99.3652	-34.5459	-83.5571
-0.0432	0.0381	0.1295	-112.1216	-32.5928	-92.2852
0.0172	0.0636	0.1011	-124.6338	-32.8369	-100.7080
0.0364	0.0767	0.0968	-139.8315	-34.5459	-109.3140
-0.0001	0.0922	0.1105	-162.0483	-34.9121	-122.1924
-0.0294	0.1218	0.1411	-188.7207	-34.4238	-140.3198
-0.0421	0.1606	0.1790	-217.9565	-33.3862	-161.3159
-0.0347	0.2167	0.2091	-247.0703	-29.4189	-182.6172
-0.0221	0.3094	0.2310	-273.0713	-22.2778	-202.3926
-0.0308	0.3947	0.2550	-291.6870	-14.2212	-218.2007
-0.0558	0.4829	0.3317	-305.2979	-6.5918	-227.7832
-0.1224	0.5757	0.4768	-311.0352	1.7700	-230.6519
-0.2240	0.6605	0.6501	-307.8003	10.1929	-227.0508
-0.4231	0.7310	0.8529	-297.3022	17.7612	-217.1021
-0.5906	0.8132	0.9534	-282.5928	27.4048	-197.0215
-0.7058	0.9445	1.0598	-267.9443	40.0391	-166.9922
-0.7356	1.0487	1.1926	-249.8779	57.0068	-134.3384
-0.6863	1.0637	1.2981	-224.5483	73.5474	-108.2764
-0.5604	0.9739	1.3237	-195.7397	79.9561	-91.8579
-0.4248	0.8568	1.3221	-169.6167	70.1294	-83.6182
-0.3655	0.8226	1.3599	-151.6724	44.7998	-82.7637
-0.4634	0.8729	1.4187	-142.4561	16.6016	-87.9517
-0.6052	0.9281	1.4617	-137.3901	-0.1221	-93.1396
-0.6451	0.9365	1.4629	-133.9111	-2.8687	-93.6279
-0.6731	0.9476	1.4846	-131.4697	2.3804	-90.9424
-0.8000	0.8823	1.5320	-127.8687	12.7563	-86.4868
-0.6783	0.9338	1.5226	-123.9014	3.2959	-101.8066
-0.5145	1.1527	1.4813	-115.2344	-10.2539	-92.4683
-0.5979	1.2334	1.4755	-101.6846	5.2490	-66.1011
-0.6823	1.1786	1.4720	-85.4492	10.6201	-52.7344
-0.6335	1.1399	1.4760	-68.8477	7.5073	-40.4053
-0.5471	1.1459	1.4811	-52.7954	2.3193	-28.0762
-0.5221	1.1384	1.4839	-38.3301	-0.4272	-16.6626
-0.5337	1.1052	1.4806	-24.1699	5.1880	-9.7656
-0.5205	1.0652	1.4338	-11.5356	10.6812	-5.2490
-0.4482	1.0358	1.3887	-1.2817	19.5923	-1.6479
-0.3420	1.0012	1.3396	6.9580	26.1230	0.6104
-0.2678	0.9857	1.2981	15.9912	31.7383	-0.6714
-0.2616	0.9916	1.2839	26.7334	33.6914	-0.4883
-0.2633	0.9968	1.2380	40.6494	30.5176	3.1738
-0.2509	0.9949	1.2109	55.6030	30.5176	7.0190
-0.2421	0.9869	1.2217	68.2373	30.0903	8.8501
-0.2535	0.9778	1.2228	78.4912	28.0762	9.7656
-0.2749	0.9650	1.2056	88.5010	26.9775	11.5356
-0.2518	0.9674	1.1913	96.9849	29.6021	13.1226
-0.2600	0.9910	1.1808	105.1636	32.1655	13.6719
-0.3167	1.0182	1.1782	114.2578	34.2407	17.0898
-0.3123	1.0490	1.1738	122.6807	40.0391	23.9868
-0.3402	1.0754	1.2239	133.8501	46.6309	29.7852
-0.3672	1.0979	1.2772	150.3906	50.5981	37.8418
-0.3019	1.0881	1.3103	173.1567	53.4058	49.0723
-0.2540	1.0706	1.3256	199.0967	48.5840	60.9131
-0.2432	1.0392	1.2827	223.2666	41.6870	73.6694
-0.1660	0.9836	1.1980	242.1265	33.8745	85.2051
-0.1251	0.9243	1.1758	253.4790	22.3999	91.6138
-0.1422	0.8757	1.1912	259.3994	8.3618	93.8110
-0.1353	0.8290	1.1903	264.6484	-6.8359	94.6045
-0.0964	0.7612	1.1343	270.8740	-21.4233	97.3511
-0.1589	0.6807	1.0818	274.7803	-30.0903	98.4497
-0.2495	0.6006	1.0503	275.3906	-31.0669	97.5952
-0.2086	0.5283	0.9884	273.4375	-27.4048	96.7407
-0.1119	0.4451	0.9036	269.5923	-21.7285	95.5811
-0.0730	0.3505	0.8224	261.8408	-15.6250	93.5669
-0.0620	0.2634	0.7524	249.6338	-10.9253	91.3086
-0.0151	0.1849	0.6959	235.3516	-7.9346	88.1958
0.0472	0.1332	0.6492	219.2383	-6.2866	85.2051
0.0917	0.0992	0.6056	206.0547	-5.9204	80.8105
0.0833	0.0668	0.5660	196.8384	-6.2256	75.0732
0.0458	0.0353	0.5212	188.7207	-5.1880	67.9932
0.0216	0.0031	0.4844	181.7017	-3.1128	60.3638
0.0341	-0.0323	0.4580	174.8047	-0.6714	53.5278
0.0450	-0.0682	0.4326	167.7856	1.7700	48.2178
0.0205	-0.1106	0.3940	160.9497	5.1270	43.0298
-0.0228	-0.1555	0.3591	152.6489	9.2163	38.2080
-0.0544	-0.1951	0.3276	141.3574	14.0381	33.5083
-0.0526	-0.2438	0.2926	128.4180	17.7612	29.3579
-0.0436	-0.2935	0.2706	113.5254	19.6533	25.5737
-0.0559	-0.3433	0.2833	98.3276	20.2026	22.0947
-0.1077	-0.3666	0.3431	83.4961	19.8364	18.6157
-0.1530	-0.3643	0.3651	70.9839	18.5547	14.5264
-0.1681	-0.3419	0.3937	61.0352	15.4419	11.4136
-0.2133	-0.3199	0.4442	52.9175	12.8784	10.8032
-0.2739	-0.3076	0.4828	47.7905	14.7705	12.0850
-0.2963	-0.3147	0.5007	44.6167	20.9961	14.7095
-0.2722	-0.3506	0.5037	40.8325	27.8320	16.4795
-0.2332	-0.3931	0.5034	34.0576	33.3862	16.0522
-0.1958	-0.4210	0.4916	24.6582	36.6821	12.2681
-0.1562	-0.4297	0.4907	13.7939	35.4004	6.2256
-0.1146	-0.4130	0.4919	3.4180	30.0293	0.7324
-0.0973	-0.3837	0.4948	-4.3335	21.6064	-3.1738
-0.1194	-0.3478	0.5431	-9.5825	10.8032	-4.3335
-0.1643	-0.3199	0.6031	-10.0708	2.0142	-3.1738
-0.2180	-0.3022	0.6586	-6.5918	-1.8921	-0.5493
-0.2361	-0.3008	0.6805	-0.3052	-1.7090	2.9297
-0.2087	-0.3169	0.6697	7.8125	0.1221	7.5684
-0.1747	-0.3452	0.6534	13.4277	2.6245	10.8032
-0.1505	-0.3684	0.6382	14.2212	3.8452	11.1694
-0.1210	-0.3804	0.6193	11.1084	2.1973	7.8735
-0.0754	-0.3829	0.5948	5.3711	-2.8687	2.6245
-0.0509	-0.3922	0.5728	-1.9531	-10.8032	-4.1504
-0.0712	-0.4066	0.5906	-11.4746	-20.0195	-10.9863
-0.1071	-0.3842	0.6500	-21.1792	-28.3813	-16.2354
-0.1287	-0.3279	0.7100	-25.7568	-33.6304	-17.2729
-0.1504	-0.2833	0.7500	-23.1934	-37.6587	-13.2446
-0.1539	-0.2695	0.7645	-16.4185	-39.6118	-4.7607
-0.1511	-0.2708	0.7626	-7.5073	-39.3066	4.2114
-0.1216	-0.2683	0.7308	1.5259	-38.3301	11.4136
-0.0625	-0.2612	0.6948	8.1177	-38.5742	15.1367
0.0073	-0.2576	0.6710	11.2915	-40.5884	14.1602
0.0880	-0.2643	0.6599	11.0474	-43.8232	9.8877
0.1848	-0.2812	0.6493	7.5073	-48.0347	4.8828
0.2672	-0.3010	0.6459	1.8311	-50.7202	1.2207
0.3419	-0.3022	0.6461	-4.8828	-50.3540	-1.7700
0.4690	-0.3217	0.6676	-11.0474	-46.3257	-5.4932
0.6129	-0.3461	0.6962	-17.5171	-51.8799	-19.5923
0.7358	-0.0189	0.6322	-25.8179	-65.6738	-21.4844
0.7827	-0.1136	0.6455	-20.2637	-53.4668	-13.0615
0.8337	-0.2489	0.6272	-19.4092	-48.4619	-45.6543
0.8646	-0.1887	0.6394	-25.2075	-38.5132	-73.1201
0.9161	-0.1581	0.6608	-36.3159	-33.6914	-93.7500
0.9373	-0.1304	0.6952	-52.4292	-37.7197	-118.5303
0.9049	-0.1041	0.6799	-70.0684	-42.1143	-135.9863
0.8600	-0.1385	0.7163	-84.1675	-28.1982	-161.5601
0.7993	-0.0560	0.7081	-99.8535	-12.3901	-192.5659
0.7397	0.0701	0.7545	-112.7930	1.8311	-208.9233
0.6688	-0.0021	0.7972	-122.1924	15.0757	-231.2012
0.5931	0.0533	0.7875	-131.0425	18.1274	-260.7422
0.5291	0.1516	0.8021	-133.7891	27.1606	-279.6631
0.4597	0.2396	0.8625	-131.2866	33.8745	-297.7295
0.3673	0.3066	0.9451	-128.7231	26.1841	-312.4390
0.2361	0.3778	1.0463	-128.6621	2.3193	-325.6836
-0.0311	0.4921	1.1160	-128.9673	-32.9590	-337.1582
-0.4266	0.6450	1.1689	-126.4038	-63.2324	-338.6841
-0.8292	0.8306	1.2419	-113.0981	-76.9043	-327.0874
-1.1593	1.0204	1.3384	-92.4072	-78.9185	-302.3682
-1.4413	1.1456	1.4124	-69.7021	-72.8149	-267.2119
-1.7169	1.1890	1.4196	-47.7295	-54.8706	-228.3325
-1.9540	1.1541	1.4161	-20.8740	-20.3857	-193.2373
-2.0050	1.0911	1.4153	5.2490	20.0806	-164.9170
-1.8341	0.9683	1.3768	25.4517	47.3022	-142.7612
-1.5477	0.7726	1.3331	35.6445	52.4902	-123.6572
-1.2742	0.6112	1.2488	37.9639	37.5977	-106.1401
-1.0962	0.5111	1.1442	34.3628	6.5918	-91.3696
-1.0378	0.4442	1.0511	29.4189	-33.2642	-80.4443
-1.0717	0.3899	0.9738	25.3296	-72.6929	-72.6318
-1.1698	0.3428	0.9230	23.5596	-101.7456	-67.5659
-1.2373	0.3054	0.8883	23.6816	-114.3188	-64.8804
-1.2180	0.2842	0.8604	24.9634	-109.9243	-60.3027
-1.1338	0.2517	0.8385	25.6958	-93.3838	-49.3164
-1.0400	0.2164	0.8214	25.1465	-71.7773	-36.9873
-0.9475	0.1788	0.8073	23.3765	-50.0488	-25.4517
-0.8413	0.1403	0.7850	19.9585	-33.2642	-16.0522
-0.7451	0.1122	0.7648	14.5264	-23.5596	-10.6812
-0.6659	0.0935	0.7404	8.1177	-19.5923	-8.4839
-0.6040	0.0944	0.7148	0.9766	-18.6768	-7.3242
-0.5685	0.1067	0.6986	-5.6152	-18.7988	-6.1646
-0.5411	0.1116	0.7000	-12.2070	-20.2026	-5.1270
-0.5222	0.1158	0.7235	-18.3105	-23.2544	-4.2725
-0.5096	0.1172	0.7363	-22.8271	-25.3906	-3.1738
-0.5037	0.1259	0.7751	-25.3906	-26.3062	-1.7700
-0.5509	0.1440	0.8193	-25.8179	-25.2075	0.4883
-0.6218	0.1625	0.8379	-23.7427	-18.4937	2.4414
-0.6459	0.1847	0.8362	-18.9819	-8.6670	4.3945
-0.6049	0.2001	0.8175	-13.0615	1.0986	7.0190
-0.5432	0.1945	0.7926	-7.4463	7.8125	9.6436
-0.5109	0.1730	0.7609	-3.9673	9.0332	11.2305
-0.5096	0.1624	0.7273	-3.4790	4.1504	11.9629
-0.5193	0.1710	0.6833	-6.1646	-5.6152	11.2915
-0.5377	0.1941	0.6384	-10.9863	-18.7378	8.3618
-0.5970	0.2128	0.6431	-16.7847	-33.2031	5.8594
-0.6738	0.2198	0.6663	-22.9492	-44.5557	5.1880
-0.7485	0.2379	0.6731	-27.0386	-49.6826	7.6904
-0.8251	0.2666	0.6937	-28.6865	-47.9126	12.3901
-0.8713	0.2828	0.7061	-27.5269	-39.6118	17.9443
-0.8706	0.2867	0.7054	-25.0854	-29.1138	24.1699
-0.8286	0.2776	0.6931	-23.1934	-20.9351	31.2500
-0.7748	0.2612	0.6693	-22.7661	-18.8599	37.2925
-0.7444	0.2429	0.6343	-25.3296	-24.1699	40.5884
-0.7579	0.2435	0.5985	-29.6021	-35.7056	41.2598
-0.8182	0.2627	0.5746	-35.0342	-51.5137	40.8936
-0.8867	0.2723	0.5435	-42.0532	-66.7725	40.7104
-0.9755	0.2731	0.5299	-50.2930	-75.3784	41.1377
-1.0769	0.3052	0.5487	-56.8848	-77.9419	44.5557
-1.1622	0.3737	0.5771	-61.5845	-75.8057	52.7344
-1.2008	0.4336	0.5980	-61.7065	-69.0918	64.7583
-1.2157	0.4557	0.6171	-58.2275	-60.6689	78.6133
-1.2360	0.4462	0.6118	-52.6123	-53.0396	92.4072
-1.2310	0.4208	0.5756	-47.3633	-52.0630	103.9429
-1.2451	0.4106	0.5380	-46.0205	-60.3027	110.5347
-1.2954	0.3936	0.4930	-48.0957	-76.4771	114.3799
-1.3774	0.3857	0.4459	-53.4058	-94.6045	117.3706
-1.4463	0.4124	0.4006	-58.3496	-107.9712	122.8027
-1.4379	0.4497	0.3287	-63.2324	-115.9058	131.5918
-1.3805	0.4668	0.2421	-67.9932	-117.7368	141.5405
-1.3053	0.4584	0.1786	-73.5474	-118.0420	151.5503
-1.2400	0.4620	0.1366	-80.8105	-119.2017	161.5601
-1.1923	0.4910	0.1179	-88.9282	-121.5210	170.7764
-1.1377	0.5186	0.1115	-98.6938	-124.3896	179.5044
-1.0547	0.5125	0.1150	-112.1216	-124.5728	186.7676
-0.9530	0.4607	0.1577	-129.2725	-119.6289	192.5049
-0.8784	0.3995	0.2542	-153.4424	-108.3374	196.4111
-0.7946	0.3741	0.3639	-180.6641	-88.9893	197.6929
-0.6569	0.4407	0.4956	-206.1768	-65.6128	195.2515
-0.5162	0.5266	0.5820	-222.5952	-41.3208	186.1572
-0.3872	0.6011	0.6908	-229.3701	-18.3716	173.8892
-0.2802	0.6702	0.7728	-226.3184	-2.3193	160.5835
-0.2496	0.7303	0.8268	-212.5244	4.4556	146.4844
-0.2441	0.7301	0.8643	-191.6504	6.5918	131.7139
-0.2124	0.6472	0.9177	-169.6777	4.5776	118.8354
-0.1909	0.5598	0.9380	-150.1465	1.7090	108.5815
-0.2454	0.4983	0.9521	-134.2163	-0.6714	101.3184
-0.3003	0.4293	0.9489	-124.3896	-3.6011	96.8018
-0.3146	0.3500	0.9408	-119.0186	-5.7983	93.2617
-0.3071	0.2812	0.9053	-118.4082	-7.8125	90.1489
-0.3400	0.2365	0.8607	-121.0327	-11.6577	86.1206
-0.3879	0.2191	0.8314	-125.7935	-19.7754	79.5898
-0.4607	0.2537	0.8013	-128.6011	-29.4189	68.8477
-0.5737	0.3074	0.7723	-123.6572	-32.0435	53.4668
-0.6653	0.3434	0.7485	-110.7178	-29.4800	37.9028
-0.7104	0.3322	0.7314	-94.8486	-24.5361	25.3906
-0.7307	0.2949	0.7074	-79.5898	-15.3198	17.8223
-0.7332	0.2539	0.6625	-66.7114	-3.6011	16.0522
-0.7222	0.2189	0.6278	-58.8379	7.1411	18.1885
-0.6927	0.1823	0.5906	-55.4810	15.1978	22.0337
-0.6534	0.1473	0.5557	-55.4810	19.4702	24.2920
-0.6062	0.1240	0.5270	-57.9834	19.3481	23.3154
-0.5458	0.1134	0.5166	-63.0493	14.2212	17.7612
-0.5256	0.0996	0.5211	-69.2749	5.7373	8.8501
-0.5925	0.1022	0.5541	-77.0874	-2.3804	-1.8311
-0.6892	0.1333	0.5724	-83.4961	-3.7842	-12.6953
-0.7300	0.1652	0.5675	-85.7544	2.1362	-22.8271
-0.7207	0.1696	0.5752	-85.2661	12.7563	-31.0669
-0.7070	0.1526	0.5841	-82.0313	25.2075	-36.4990
-0.6864	0.1277	0.5790	-78.1860	36.3770	-37.7808
-0.6565	0.1031	0.5878	-76.5991	45.7764	-35.6445
-0.6461	0.0936	0.6234	-76.5991	55.1758	-32.9590
-0.6163	0.1018	0.6406	-75.3174	64.2700	-30.5176
-0.5526	0.1241	0.6678	-74.0356	68.6646	-29.3579
-0.4910	0.1371	0.6979	-72.5098	67.6880	-30.5176
-0.4844	0.1410	0.7593	-71.4722	62.0117	-35.4614
-0.5408	0.1460	0.8435	-71.5942	54.7485	-42.2974
-0.5968	0.1381	0.8992	-71.0449	48.4619	-50.5981
-0.6584	0.1423	1.0005	-69.9463	45.4102	-59.7534
-0.7721	0.1429	1.0936	-63.9648	43.0298	-67.0166
-0.8326	0.1819	1.2053	-58.1055	40.1611	-67.1997
-0.8934	0.2450	1.3392	-52.4902	40.1001	-62.8662
-0.9956	0.3149	1.4498	-41.5649	52.1851	-56.7627
-1.0999	0.3546	1.5217	-20.6299	74.7681	-50.1099
-1.1285	0.3427	1.5623	5.3711	98.2056	-43.8843
-1.0640	0.2966	1.5526	31.9214	116.8213	-39.7949
-0.9758	0.2679	1.5311	54.5044	127.3804	-39.0015
-0.9210	0.2582	1.5197	72.3877	128.2349	-38.9404
-0.9238	0.2781	1.5239	87.5854	121.2769	-38.3301
-0.9979	0.3037	1.4990	102.7832	114.1968	-37.7808
-1.0465	0.3329	1.4509	117.5537	111.3892	-36.0107
-1.0442	0.3638	1.3917	131.2256	110.2905	-31.9824
-1.0244	0.3719	1.3418	144.8975	111.7554	-26.9165
-0.9821	0.3650	1.2616	157.9590	117.7979	-22.2168
-0.8948	0.3540	1.1737	170.5933	122.8638	-17.2119
-0.7794	0.3459	1.0804	181.7017	122.9858	-12.2681
-0.6858	0.3369	0.9810	191.4673	117.5537	-9.4604
-0.6324	0.3226	0.8689	200.4395	107.1777	-9.1553
-0.6138	0.3112	0.7490	209.7168	95.0928	-9.8877
-0.6056	0.3148	0.6135	218.1396	83.3130	-10.4980
-0.6008	0.3365	0.4941	223.9990	75.1953	-11.3525
-0.6105	0.3619	0.3718	225.1587	72.0215	-13.7329
-0.6558	0.3599	0.2596	219.7266	73.7305	-17.7002
-0.6812	0.3389	0.1697	206.5430	77.7588	-21.8506
-0.6837	0.3271	0.1123	186.1572	81.8481	-21.1182
-0.7070	0.2859	0.0817	161.3159	88.6841	-14.0381
-0.7366	0.2571	0.0831	135.0708	94.8486	-14.7095
-0.7384	0.2435	0.0958	110.5347	97.4121	-13.4888
-0.7113	0.2358	0.1078	89.6606	97.6563	-8.1177
-0.6438	0.2312	0.1276	72.1436	93.8721	-1.3428
-0.5638	0.2211	0.1650	56.8848	85.3882	5.7983
-0.4850	0.1970	0.2142	44.9219	74.4019	13.2446
-0.4163	0.1643	0.2777	33.6304	60.9741	18.9819
-0.3647	0.1051	0.3273	22.5220	47.3633	22.2778
-0.3236	0.0457	0.3673	10.7422	35.5225	23.2544
-0.3024	-0.0038	0.3970	0.0610	22.4609	20.0806
-0.3112	-0.0353	0.4418	-9.0942	8.6060	15.1978
-0.3828	-0.0476	0.4949	-17.5781	-1.9531	8.1787
-0.4585	-0.0564	0.5332	-22.6440	-5.3101	0.3052
-0.4633	-0.0430	0.5952	-26.8555	-6.2866	-5.0049
-0.4396	-0.0115	0.6862	-29.2358	-7.7515	-7.1411
-0.4161	0.0037	0.7216	-26.6724	-8.2397	-8.4839
-0.3756	-0.0022	0.7344	-21.1792	-8.6670	-8.6060
-0.3424	-0.0298	0.7552	-15.5640	-13.3667	-6.9580
-0.3271	-0.0693	0.7675	-10.6812	-19.3481	-6.0425
-0.3418	-0.1017	0.7635	-6.2866	-25.6958	-7.5073
-0.3818	-0.1270	0.7460	-2.8687	-32.5928	-11.2305
-0.4404	-0.1481	0.7460	-2.6245	-40.0391	-15.0757
-0.4969	-0.1646	0.7513	-5.1270	-44.2505	-17.7612
-0.5146	-0.1714	0.7622	-10.5591	-43.3350	-19.4702
-0.4891	-0.1678	0.7822	-18.8599	-39.7339	-19.6533
-0.4543	-0.1483	0.8083	-27.1606	-35.8887	-18.7378
-0.4336	-0.1143	0.8340	-32.7148	-32.7148	-17.3340
-0.4147	-0.0790	0.8507	-34.6680	-30.5786	-15.9302
-0.3824	-0.0532	0.8767	-33.9355	-31.4941	-14.4653
