aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.4979	1.0533	0.0641	-117.4927	73.4863	15.4419
-0.4419	0.9950	0.0696	-129.0894	82.2144	17.8223
-0.2827	0.9203	0.1669	-146.0571	84.2285	23.1934
-0.1140	0.8595	0.3307	-167.7856	75.8057	29.8462
0.0743	0.7532	0.4772	-191.3452	60.7300	39.7949
0.3464	0.6354	0.6490	-219.5435	30.0903	52.8564
0.6227	0.5908	0.8583	-248.1689	-10.1318	66.8335
0.8342	0.6696	1.0449	-263.3057	-56.6406	80.0171
0.8413	0.7141	1.0427	-252.8076	-110.2295	93.4448
0.3250	0.8696	1.0670	-216.6748	-166.8701	101.7456
-0.5232	1.1624	1.1996	-142.2729	-207.7637	103.4546
-1.4609	1.5165	1.3370	-3.0518	-189.0869	108.9478
-1.6112	1.7782	1.1938	217.4072	-106.5674	117.7368
-1.0796	1.8926	0.7487	477.6001	-7.4463	101.3184
-0.9977	2.0599	0.0447	724.9146	77.8198	58.9600
-0.8427	1.8661	-0.5842	927.1240	135.4370	16.7847
-0.7037	2.2944	-1.8513	1045.9595	174.6216	-1.1597
-0.4233	1.2620	-2.7688	1041.9922	176.8799	28.6865
-1.5719	0.0033	-2.4382	803.2837	253.6011	56.8848
-2.2446	0.1233	-1.3350	443.6646	361.0840	21.3623
-0.5536	0.7609	-0.6162	122.4365	395.2637	-38.0249
0.6842	0.3806	-0.2979	-96.4966	291.8091	-39.3677
0.1744	0.6221	-0.2565	-259.8877	68.9087	-5.9204
-0.5090	1.1042	-0.3673	-363.1592	-138.1836	7.6904
-1.0884	1.2402	-0.2921	-403.9917	-266.1743	13.0615
-1.5618	1.2712	-0.0645	-384.9487	-284.9121	20.0195
-1.4392	1.1990	-0.0057	-322.8760	-236.9385	28.6255
-1.4213	1.2250	0.0770	-266.6626	-180.2368	37.1094
-1.3168	1.1779	0.3331	-212.8906	-102.2949	50.9033
-0.9137	1.0625	0.5651	-155.8838	-22.3999	49.0112
-0.5846	0.9922	0.7244	-98.8770	45.7153	37.3535
-0.3954	0.8481	0.7831	-48.2178	97.1680	20.6909
-0.2250	0.7682	0.7979	-14.8926	121.5820	7.0190
-0.1184	0.6975	0.7993	3.1738	125.1831	0.1831
