aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.0979	-0.6409	0.0151	325.3784	80.5664	172.8516
-0.0338	-0.9027	-0.2527	325.8667	43.0908	166.2598
-0.0530	-1.1244	-0.3949	321.3501	12.3291	165.3442
-0.0688	-1.1700	-0.4644	314.0259	-9.4604	168.5791
-0.0879	-1.0048	-0.4097	304.6265	-21.6675	178.4058
-0.1958	-1.0027	-0.3441	307.3730	-9.4604	176.3306
-0.3112	-0.9448	-0.2915	304.8706	1.9531	159.7290
-0.2369	-0.8215	-0.2997	301.8188	8.5449	156.9824
-0.0961	-0.7406	-0.3339	313.2935	21.1182	156.0059
-0.0206	-0.7356	-0.4166	328.1250	34.7290	152.3437
0.0731	-0.6940	-0.4905	340.6982	40.9546	145.2026
0.2323	-0.6620	-0.5596	349.2432	32.5928	140.8691
0.3530	-0.6102	-0.6202	354.6753	8.5449	138.9160
0.3495	-0.5114	-0.6531	361.8164	-18.7988	138.4888
0.2638	-0.3827	-0.6929	373.5962	-44.0063	142.7612
0.1552	-0.2343	-0.7230	392.2119	-58.9600	151.8555
0.0514	-0.0796	-0.8805	415.2832	-53.2227	162.9639
0.0377	0.1898	-1.0895	443.3594	-29.6631	169.8608
0.1259	0.4758	-1.2941	476.9897	3.9673	173.1567
0.2279	0.7151	-1.6342	505.7983	42.7246	166.3208
0.4512	0.8148	-2.6346	522.3999	88.0737	141.4185
1.0431	0.3617	-3.9846	496.1548	124.8169	88.6230
1.5229	-0.7594	-3.9995	347.8394	111.2671	7.3853
1.4070	-1.1240	-3.9921	38.3301	70.1904	-54.8706
0.6229	0.1536	-3.3988	-264.9536	33.5693	-147.7051
-0.1354	1.5402	-3.3917	-440.0024	-23.3154	-191.8335
-0.3536	0.9164	-3.5583	-532.0435	-39.1235	-149.4751
0.1752	0.2638	-3.3805	-616.8823	19.9585	-139.0991
0.5789	0.2034	-3.0724	-703.0640	87.5854	-175.4761
0.6339	0.3566	-2.6840	-771.1792	118.6523	-249.9390
0.7008	0.4601	-2.2633	-823.4253	127.9907	-320.4346
0.8735	0.5178	-1.7277	-868.8354	114.9902	-376.1597
0.9707	0.6389	-1.2699	-903.0762	81.7261	-425.2930
1.0088	0.9565	-0.8877	-934.3262	28.0151	-465.8813
0.8676	1.4624	-0.4069	-963.3179	-31.8604	-498.1079
0.4723	2.0038	0.5759	-954.1626	-106.2622	-510.3149
-0.3993	1.9041	1.6486	-854.4312	-202.3315	-464.7827
-1.5487	1.6962	2.2472	-700.6836	-283.2642	-385.7422
-2.4463	2.0770	2.7772	-539.1846	-316.7725	-303.2227
-3.1642	2.5575	2.9468	-340.8203	-282.1045	-183.9600
-3.1741	2.2598	2.7969	-144.1650	-179.4434	-5.4321
-2.6056	1.8635	2.4082	16.7236	-50.6592	143.6157
-1.8624	1.4789	1.9694	125.3662	80.1392	247.6196
-1.0303	1.1526	1.5789	194.3359	156.9824	315.7959
-0.3339	0.9902	1.2803	229.3091	167.6025	342.2241
-0.0746	0.7230	0.9606	272.0947	148.4985	348.0835
-0.0422	0.2307	0.5754	316.3452	121.8262	347.5342
0.0570	-0.0648	0.3713	338.3789	87.8296	332.6416
0.0210	-0.4518	0.0787	363.5254	39.0625	308.5937
-0.0826	-0.5508	-0.1039	382.5073	5.4321	296.7529
-0.0820	-0.5398	-0.2516	409.4849	0.1831	292.7246
-0.0199	-0.5514	-0.3625	445.4346	11.5967	290.1001
0.0380	-0.4507	-0.4744	481.6895	34.2407	289.2456
0.0426	-0.3784	-0.5901	520.3247	65.4297	296.5698
0.0543	-0.3289	-0.6901	552.4292	102.7222	270.5688
0.1393	-0.1365	-0.8572	570.1294	115.6006	245.4224
0.2782	0.0909	-1.0789	603.5767	121.7651	240.3564
0.4646	0.3004	-1.3209	644.9585	124.8169	241.5161
0.6112	0.3809	-1.6031	674.2554	121.2769	238.8306
0.6234	0.3322	-1.7927	670.5322	112.6709	223.9380
0.6329	0.2985	-1.8774	643.8599	98.5718	199.5850
0.5941	0.1429	-1.9707	611.2061	68.5425	169.6167
0.4010	-0.0084	-2.0667	556.0913	42.7856	137.0850
0.2966	-0.1383	-2.1870	487.1216	32.6538	111.9995
0.2760	-0.1702	-2.1721	397.4609	25.1465	91.0034
0.2095	-0.0911	-2.1927	300.8423	18.4937	70.6787
0.1785	0.1587	-2.3560	209.4727	19.9585	45.5933
0.3164	0.2655	-2.7461	123.1079	23.6206	19.5923
0.4926	0.0898	-3.0583	18.1885	27.8931	-12.5122
0.6193	-0.0216	-3.1001	-122.0093	26.7944	-42.8467
0.6675	0.1150	-3.2374	-278.5034	16.9067	-73.7915
0.5392	0.3798	-3.1665	-437.2559	8.6670	-106.2622
0.3330	0.7642	-2.8656	-575.6836	2.6855	-131.7139
0.2296	0.9344	-2.7052	-660.0952	-15.5640	-148.6816
0.4518	0.7303	-2.6721	-714.2944	-29.2358	-164.8560
0.7166	0.4602	-2.6553	-769.1040	-41.5039	-198.6694
0.7439	0.4370	-2.6398	-831.1768	-57.5562	-261.3525
0.7273	0.7458	-2.4166	-892.0898	-63.6597	-337.6465
0.6582	1.0658	-1.9690	-931.4575	-65.9180	-407.2876
0.4503	1.2157	-1.4385	-945.7397	-82.1533	-455.6274
0.1118	1.3724	-0.8269	-953.3081	-103.1494	-492.3096
-0.0695	1.8497	-0.0121	-947.5708	-137.6953	-528.1372
-0.1825	1.8672	1.5428	-857.5439	-184.3262	-538.6353
-1.6194	1.9265	2.6515	-673.7061	-232.1167	-494.2627
-3.1453	2.1953	3.3782	-463.3789	-249.5728	-374.6338
-3.3617	2.2253	3.2781	-235.0464	-214.4165	-195.1904
-2.7697	1.9221	2.7272	-36.3159	-106.3843	-17.3950
-2.2374	1.5345	2.3391	98.0835	19.5313	118.3472
-1.5236	1.1974	1.8667	181.6406	112.2437	216.4917
-0.8512	0.9960	1.4856	224.1821	149.3530	271.8506
-0.4890	0.7664	1.1018	264.4653	160.7666	293.2739
-0.2827	0.2618	0.7048	309.0820	158.2031	296.9971
-0.1355	-0.1616	0.4838	328.1860	137.0850	283.3862
-0.0522	-0.5321	0.2166	337.0972	105.8350	257.6904
-0.0449	-0.7078	-0.0697	345.4590	72.4487	241.3940
-0.0292	-0.8407	-0.2800	349.9146	54.1382	236.3281
-0.0536	-0.9574	-0.3223	356.2012	44.4946	233.3984
-0.0762	-0.8696	-0.3260	364.5020	40.4663	230.8350
-0.0463	-0.7606	-0.3448	376.6479	43.3350	232.1777
-0.0647	-0.7588	-0.4128	393.0664	54.3213	242.1875
-0.0522	-0.8094	-0.4607	409.2407	77.5146	219.9707
0.0529	-0.7533	-0.4797	398.9868	73.1812	198.9136
0.1469	-0.6472	-0.6072	388.7329	61.2183	182.4341
0.1379	-0.6068	-0.7100	387.9395	56.2134	171.4478
0.1555	-0.5776	-0.7788	389.6484	62.2559	164.9170
0.2886	-0.4966	-0.8386	397.9492	59.5093	164.7339
0.4015	-0.4108	-0.9119	411.6211	48.2788	163.9404
0.4077	-0.3462	-1.0024	423.1567	28.5034	159.7290
0.3290	-0.2130	-1.1134	429.7485	5.1880	153.3203
0.2639	0.0326	-1.2810	437.3779	-12.4512	147.8271
0.2117	0.3076	-1.5253	448.1812	-18.2495	145.6299
0.2495	0.4011	-1.9828	453.4302	-0.4272	143.0054
0.3811	0.1768	-2.7253	436.8286	47.1191	127.1973
