aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.7783	0.6909	-0.4911	-691.8335	160.7056	-134.1553
-0.8030	1.2079	-0.5559	-731.6284	164.5508	-143.6157
-0.8787	1.4408	-0.4440	-737.9150	158.4473	-129.1504
-0.9456	1.4486	-0.0574	-735.9009	148.6816	-89.9658
-1.0961	1.3608	0.2775	-724.6704	139.8926	-44.9219
-0.9049	1.3046	0.4039	-689.1479	141.7236	-5.1880
-0.6505	1.2477	0.5459	-633.4839	131.0425	25.2075
-0.3698	1.1660	0.7913	-581.2378	76.2939	53.2837
-0.3130	1.0709	1.2881	-520.2026	-24.9023	74.7681
-0.7046	0.9216	1.5813	-431.0303	-157.5928	93.7500
-1.1747	0.8442	1.4065	-318.2373	-259.5215	101.3184
-1.4352	0.9167	1.0182	-219.5435	-283.0811	102.3560
-1.5060	0.9424	0.8575	-146.7896	-240.7227	105.4077
-1.3837	0.8710	0.9524	-93.8721	-177.9175	106.5674
-1.2687	0.9883	1.1135	-44.8608	-119.3848	109.9243
-1.1925	0.9694	1.1069	26.1841	-68.6646	119.2627
-1.0338	0.8687	1.0022	107.6660	-28.9917	136.2915
-0.9393	0.8218	0.9960	189.7583	3.6011	152.0386
-0.9034	0.8263	0.9967	279.0527	36.1938	165.2832
-0.8297	0.9130	0.9758	382.7515	64.9414	180.9692
-0.5909	1.0303	0.7498	503.1128	84.2285	195.8008
-0.2714	1.0769	0.3462	624.0845	86.1206	196.7163
-0.0652	1.0687	-0.0507	727.2339	63.6597	178.9551
-0.1278	1.0167	-0.3549	810.0586	22.3999	147.3389
-0.2688	1.2510	-0.6028	873.4741	-5.0659	115.6616
-0.3679	1.5507	-0.8164	947.5708	-18.6768	108.8867
-0.1962	1.9241	-1.3099	1030.3345	-44.6777	114.6851
0.3606	2.1219	-2.0421	1079.2236	-104.2480	132.5684
0.7112	2.0598	-2.7679	1015.6250	-176.8799	140.1978
0.0128	1.1029	-3.7957	891.1133	-172.4854	121.4600
-1.4340	-0.3411	-3.9995	714.7827	-57.0068	84.8389
-2.0912	-1.3512	-3.9896	449.6460	78.6743	35.8276
-1.7302	-0.5444	-3.0625	140.5029	172.9736	-20.9351
-1.2614	0.8860	-2.5320	-101.1963	191.7114	-74.7681
-1.0592	1.2773	-2.4789	-237.1826	166.3818	-86.3037
-0.9534	1.4388	-2.4752	-306.7017	148.4985	-63.0493
-0.8694	1.1886	-2.0948	-350.4028	154.2969	-5.7983
-0.6923	0.5767	-1.7462	-385.4980	128.6621	9.2163
-0.6271	0.2996	-1.3076	-431.0303	128.0518	-16.9678
-0.7837	0.2157	-0.9620	-481.0791	150.5737	-53.1616
-0.8346	0.2316	-0.6842	-530.4565	167.6636	-89.1724
-0.7887	0.4752	-0.3839	-581.9092	175.1099	-119.6289
-0.9338	0.9340	-0.0034	-611.8774	174.9878	-139.0991
-1.0353	1.1378	0.1975	-606.3232	170.5322	-139.7705
-0.9578	0.9829	0.2482	-584.1675	177.3071	-123.9624
-0.8079	0.8202	0.2030	-566.7114	183.1055	-100.0366
-0.6978	0.7478	0.1569	-561.4014	172.9126	-71.8384
-0.6377	0.7937	0.1053	-564.0869	141.7236	-43.0908
-0.6165	0.8390	0.0735	-564.7583	103.0273	-21.6675
-0.6476	0.8158	0.1813	-563.1104	64.4531	-9.3384
-0.6743	0.7800	0.2999	-554.5654	32.2876	-5.0659
-0.6295	0.7594	0.4539	-532.8979	10.2539	-0.7935
-0.6746	0.6993	0.5947	-497.8638	-17.5781	7.9346
-0.7288	0.6823	0.7626	-459.7168	-60.9741	21.6064
-0.8290	0.7384	0.8333	-409.7290	-104.5532	34.6680
-0.9279	0.8065	0.8861	-355.7739	-127.3804	43.5791
-0.7889	0.9220	0.7953	-304.8706	-133.0566	55.2368
-0.6869	0.9739	0.8372	-258.8501	-143.4937	63.5986
-0.8341	1.0503	1.1132	-221.9849	-161.3159	69.7021
-1.1902	1.2010	1.4452	-169.4946	-170.5322	88.6230
-1.4143	1.3630	1.6658	-86.4258	-158.7524	121.1548
-1.4993	1.4479	1.7316	29.7852	-123.6572	158.4473
-1.3638	1.4469	1.4989	163.9404	-77.1484	203.1250
-1.0704	1.4144	1.1595	302.5513	-22.9492	246.2158
-0.7905	1.3456	0.8730	438.2935	35.5835	269.1650
-0.4440	1.3805	0.5074	573.6084	84.5337	263.6719
-0.1407	1.3680	0.0503	712.5854	105.2856	231.5063
-0.2684	1.3285	-0.5157	844.3604	91.7969	167.4194
-0.8507	1.5344	-1.1255	963.1958	93.1396	89.1113
-1.2871	1.9669	-1.5239	1074.0967	130.6152	32.3486
-1.4916	2.4575	-1.8710	1175.2930	174.7437	13.4277
-0.5598	2.9474	-2.2697	1246.1548	172.6685	48.0347
1.0236	3.1895	-2.4484	1218.5059	72.6318	103.5156
1.2837	2.5472	-3.6583	1096.8628	-67.8711	115.1123
-0.6813	0.1028	-3.9995	902.0386	-140.4419	72.2046
-2.9490	-2.5088	-3.2898	565.6738	-110.2295	58.8989
-2.9097	-2.5588	-2.1536	190.8569	-69.8242	53.7720
-2.0272	-0.0353	-1.8861	-57.8003	-35.4614	2.4414
-1.5336	1.3469	-1.9749	-206.2988	-29.2969	-44.1284
-1.3726	1.5806	-1.6725	-265.3809	-5.0049	-16.1743
-1.2280	1.0416	-1.5916	-276.8555	-2.2583	39.1846
-1.0582	0.6318	-1.3568	-276.1841	13.4888	33.9355
-1.1049	0.4182	-1.0552	-272.3389	51.6968	38.7573
-1.0863	0.3582	-0.8003	-276.7944	80.9326	37.5977
-0.9712	0.2280	-0.5128	-281.0059	115.4785	17.5781
-0.9019	0.0597	-0.2568	-281.0669	159.1797	-8.7280
-0.8308	-0.0347	-0.0602	-281.8604	190.4907	-32.0435
-0.7651	-0.0433	0.0708	-287.4756	203.4912	-51.7578
-0.6826	-0.0292	0.1426	-291.4429	193.7256	-63.7817
-0.6061	-0.0363	0.1548	-296.4478	163.9404	-64.7583
-0.5990	-0.0796	0.1515	-304.6265	125.1221	-59.9976
-0.6132	-0.0919	0.0844	-315.9180	87.3413	-51.2085
-0.6128	-0.0477	-0.0366	-330.3223	55.6641	-39.0015
-0.6400	-0.0400	-0.1163	-346.8628	29.7852	-27.0386
-0.6874	-0.0020	-0.1356	-369.3237	4.8218	-17.2729
-0.7546	0.0863	-0.1252	-388.7329	-18.3716	-7.8735
-0.8317	0.1490	-0.1123	-400.3906	-36.7432	1.2817
-0.8812	0.1815	-0.1094	-404.9072	-50.1709	6.7749
-0.8915	0.1998	-0.1339	-404.6631	-57.6172	9.0942
-0.8951	0.2158	-0.1504	-404.0527	-61.8286	11.1084
-0.8884	0.2478	-0.1334	-404.7241	-63.1104	9.0942
-0.8103	0.3184	-0.0825	-407.0435	-64.2700	3.2349
-0.7241	0.4052	-0.0532	-411.5601	-66.0400	-5.7373
-0.7444	0.4799	0.0653	-417.6636	-72.8760	-16.9067
-0.7897	0.5518	0.3217	-422.4854	-81.4819	-20.5078
-0.8480	0.7203	0.7532	-416.6870	-87.4634	-9.0332
-0.7982	0.8630	1.0980	-385.1318	-99.3652	23.9258
-1.0255	0.9042	1.4426	-323.9746	-117.6147	64.6362
-1.4553	1.0197	1.6866	-228.5156	-139.2822	109.3140
-1.7234	1.2135	1.9167	-89.5996	-141.4185	159.5459
-1.7787	1.3817	1.8420	97.0459	-104.9805	207.2144
-1.5251	1.5586	1.6622	317.9321	-19.7144	238.6475
-0.7793	1.7184	1.1852	550.5371	70.6787	240.8447
-0.3129	1.6636	0.3608	762.9395	102.4170	203.6133
-0.4249	1.6000	-0.4142	929.3823	93.3838	118.2251
-0.7745	1.8616	-0.9480	1047.3022	85.9375	39.7339
-1.1986	2.3831	-1.3364	1146.9727	96.3745	2.6855
-0.7994	2.8228	-1.9453	1233.3984	112.0605	34.1797
0.3654	2.7106	-2.3953	1219.1162	61.8286	102.7222
1.0192	2.0820	-3.1016	1068.8477	-62.7441	132.8735
-1.3807	0.0284	-3.9995	839.1724	-109.6802	100.0977
-3.6260	-2.4111	-3.1127	531.7993	-36.2549	88.1958
-2.4659	-2.1631	-1.8097	173.7061	14.2212	100.7080
-1.3813	0.2379	-1.5527	-49.0723	43.2739	83.3130
-1.2322	1.1825	-1.9868	-153.3203	34.4238	47.0581
-1.0149	1.3268	-1.9982	-196.2891	22.5220	26.7334
-0.8861	0.9537	-1.7579	-208.6182	20.3857	61.0962
-0.7872	0.3208	-1.4548	-217.1631	11.5356	62.5000
-0.6512	0.0000	-1.1843	-235.0464	-0.4883	33.2642
-0.6814	-0.1586	-1.0059	-260.0708	-4.5776	11.2305
-0.7811	-0.2410	-0.8594	-294.1284	1.6479	-14.3433
-0.8932	-0.1611	-0.7026	-336.1816	6.1646	-41.8701
-0.9884	-0.0028	-0.5952	-377.2583	13.5498	-65.7349
-0.9905	0.0717	-0.5664	-412.1704	25.2075	-83.0078
-0.9059	0.1317	-0.4995	-444.3359	39.5508	-95.0928
-0.7877	0.2473	-0.5150	-471.6797	45.4712	-103.0884
-0.7446	0.2709	-0.5187	-488.9526	40.5273	-106.8726
-0.7390	0.3019	-0.4412	-506.9580	32.4097	-108.0933
-0.7804	0.3674	-0.3247	-522.8882	27.8931	-106.5063
-0.8446	0.4170	-0.1852	-530.7007	26.5503	-100.8911
-0.8572	0.4211	-0.0475	-531.5552	29.7852	-92.4683
-0.7830	0.4227	0.0233	-530.5176	34.9121	-80.5664
-0.6573	0.4319	0.0526	-527.9541	35.0952	-68.1763
-0.4017	0.5067	0.0698	-527.2217	25.4517	-54.0771
-0.3510	0.6161	0.2014	-519.5312	0.0000	-40.9546
-0.5923	0.6697	0.4269	-502.6855	-35.2173	-26.1230
-0.9249	0.7350	0.7865	-472.8394	-67.3828	-8.6670
-1.0970	0.9070	1.1647	-416.6870	-92.7734	14.7705
-1.1312	1.0984	1.4115	-327.3926	-109.6802	45.4102
-1.2908	1.1498	1.6333	-216.4307	-117.1265	75.9888
-1.4755	1.2208	1.8444	-90.3931	-108.9478	110.9009
-1.4041	1.3380	1.8438	51.6968	-83.8623	151.8555
-1.2313	1.3149	1.5817	207.7637	-36.6821	188.7817
-1.0355	1.2725	1.2754	365.0513	16.9067	213.3789
-0.7277	1.3632	0.9302	520.2637	65.0635	218.2617
-0.4777	1.4241	0.5338	679.2603	98.9990	197.8760
-0.3422	1.5137	-0.0627	831.6650	103.5767	145.9351
-0.5065	1.6346	-0.7662	957.4585	104.0039	73.9136
-1.0514	1.8320	-1.2097	1052.4902	126.5259	6.7749
-1.4194	2.2454	-1.4830	1134.5215	163.0859	-18.4326
-0.7906	2.5042	-2.0088	1207.0313	182.6782	9.3384
0.5126	2.5284	-2.2921	1181.5186	112.1826	62.5000
0.8066	2.0635	-2.8253	1036.6211	-32.7759	95.5811
-1.5302	0.1356	-3.7828	840.9424	-98.9380	74.0356
-3.4585	-2.1744	-3.2102	551.4526	-46.3257	50.7813
-2.5952	-2.2285	-2.0582	189.4531	13.0005	46.5698
-1.6251	0.1177	-1.6390	-67.1387	39.0625	23.3154
-1.4574	1.2915	-1.9552	-198.5474	35.2783	-7.6904
-1.2296	1.4341	-1.9628	-244.6289	36.5601	-29.2358
-0.9954	1.0782	-1.8031	-257.3853	36.1328	5.6152
-0.8976	0.4773	-1.4944	-270.5078	33.0200	31.7993
-0.6882	0.2544	-1.2064	-288.8184	23.9258	11.8408
-0.6030	0.0704	-1.0150	-307.0068	23.4985	-2.2583
-0.6429	-0.0558	-0.8524	-332.3975	25.0244	-22.2168
-0.6748	-0.0409	-0.6979	-365.0513	22.3999	-46.2036
-0.7537	0.0018	-0.5890	-398.7427	19.1650	-70.6787
-0.8434	0.0455	-0.5103	-434.8145	19.2871	-88.7451
-0.8966	0.1447	-0.4564	-473.1445	21.9727	-99.4263
-0.8678	0.2837	-0.4132	-505.2490	28.1982	-104.9805
-0.7417	0.3715	-0.4690	-527.3437	37.1704	-107.8491
-0.6707	0.4268	-0.4818	-544.6167	39.9780	-108.8257
-0.6647	0.5005	-0.4622	-559.4482	32.4707	-107.8491
-0.7448	0.5529	-0.3396	-569.5190	23.0103	-105.1025
-0.8518	0.5944	-0.2201	-573.4253	16.5405	-99.9146
-0.9639	0.5955	-0.0952	-565.7349	15.4419	-88.0737
-0.9883	0.6097	0.0394	-555.2368	21.0571	-74.3408
-0.9266	0.6733	0.1852	-542.9687	30.0293	-58.5938
-0.7891	0.8145	0.3077	-518.4937	36.3770	-40.8936
