aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.2836	0.1781	-1.8228	298.3398	-2.1973	118.5913
-0.2622	-0.1437	-2.4054	228.7598	9.4604	103.9429
-0.2694	-0.8103	-2.7360	112.7930	38.9404	69.5190
-0.4750	-1.0575	-2.6731	-65.6128	84.3506	18.4326
-0.5627	-0.6150	-2.3608	-273.9258	133.1177	-44.3115
-0.4365	-0.0900	-2.1885	-452.5146	152.7710	-118.2251
-0.2908	0.2443	-1.9678	-595.6421	134.1553	-179.1992
-0.3320	0.6416	-1.7079	-706.8481	115.7227	-222.5342
-0.3293	1.0348	-1.5092	-785.8887	115.6616	-266.6016
-0.2545	1.2511	-1.3400	-837.3413	123.3521	-310.8521
-0.1660	1.4463	-1.3032	-873.6572	125.2441	-357.2388
-0.1134	1.8002	-1.2511	-909.0576	138.5498	-409.9121
-0.0552	2.4503	-1.3698	-926.5747	162.6587	-458.8013
0.0021	2.9917	-1.1161	-906.3110	175.1709	-478.9429
-0.2178	3.1643	0.0524	-867.5537	202.8198	-434.8755
-1.3669	2.8315	2.0048	-752.6245	202.8809	-326.7212
-2.5667	2.5208	3.1300	-559.3262	110.5957	-175.7202
-2.8330	2.2952	3.1089	-289.4287	3.6011	-9.3384
-2.1971	1.8955	2.3931	-24.5361	-37.7197	118.0420
-1.4318	1.4393	1.9573	166.4429	-12.5122	218.8110
-0.9435	1.2428	1.4753	276.0620	-19.8975	272.7051
-0.6420	1.1282	0.8391	349.5483	-62.6831	296.1426
-0.3293	0.9586	0.2406	413.0249	-113.3423	312.0117
-0.1031	0.6249	-0.3042	473.5718	-157.1045	308.5937
-0.0764	0.2683	-0.6851	512.5122	-193.1152	266.1743
-0.2092	0.2009	-0.8309	518.3716	-224.7925	230.0415
-0.3842	0.3309	-0.9645	508.9722	-231.6284	212.8296
-0.5637	0.4000	-1.0789	494.7510	-207.2754	201.1719
-0.7864	0.3358	-1.1028	471.7407	-167.7856	191.4673
-0.9053	0.2548	-1.0702	438.7817	-125.1831	184.3872
-0.9003	0.2651	-1.0444	405.0903	-84.8389	177.4292
-0.8771	0.2609	-0.9730	372.6196	-56.2134	168.0908
-0.8671	0.2007	-0.8473	345.5811	-40.8936	158.6304
-0.8535	0.2034	-0.7695	323.1812	-30.3345	150.1465
-0.8901	0.2534	-0.7284	309.9365	-14.9536	145.6299
-0.8756	0.2762	-0.7181	304.3823	7.6904	141.9678
-0.7432	0.2203	-0.7657	301.8188	32.3486	141.3574
-0.6249	0.1400	-0.8635	293.3960	46.2036	143.1274
-0.5421	0.1066	-0.9480	275.5737	47.1191	142.7002
-0.5016	0.0840	-0.9962	250.3662	37.5366	140.3198
-0.4485	0.0706	-1.0564	221.0693	17.2729	136.7798
-0.3293	-0.0114	-1.2450	187.9272	-3.1128	131.1646
-0.2640	-0.2708	-1.6635	138.9160	-15.6250	115.2344
-0.2931	-0.8010	-2.0050	57.6782	-5.5542	76.5381
-0.4631	-1.0925	-2.0420	-70.6177	34.8511	24.7192
-0.5128	-0.8108	-1.8029	-222.5342	89.1113	-39.6118
