aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.0548	-0.1565	0.5880	43.2739	121.3989	56.0303
-0.0098	-0.1699	0.5887	45.2881	113.7695	54.0771
-0.0448	-0.1907	0.5950	48.1567	105.4077	50.9033
-0.0797	-0.2118	0.5905	50.2319	98.9380	42.6025
-0.1373	-0.2185	0.5944	51.1475	98.5718	34.3628
-0.2037	-0.2373	0.5991	46.8750	101.8677	21.7896
-0.2312	-0.2335	0.6174	39.6118	106.2622	11.1084
-0.2554	-0.2123	0.6650	25.8789	114.3799	1.5259
-0.2959	-0.1580	0.7346	15.4419	113.7695	-5.1880
-0.2931	-0.0570	0.8035	11.4746	111.3281	-5.0659
-0.2251	0.0251	0.8378	17.3950	107.1777	1.5869
-0.1543	0.0411	0.8146	33.8135	100.5859	9.1553
-0.0779	0.0229	0.7125	57.2510	90.1489	8.5449
0.0486	0.0380	0.4884	82.3364	74.8901	2.0752
0.1772	-0.0261	0.1307	102.1729	54.4434	-6.1035
0.2687	-0.0457	-0.3506	107.6050	28.4424	-15.5029
0.3390	0.0778	-0.9690	101.0132	0.0000	-26.7334
0.4879	0.1208	-1.7933	98.2056	-25.0854	-41.2598
0.6532	0.1029	-2.7744	99.2432	-54.5044	-56.0913
1.0024	-0.1338	-3.8734	99.6704	-101.3794	-72.9370
1.6937	-0.3826	-3.9995	88.3789	-168.8232	-80.2002
1.7449	-0.6016	-3.9995	53.4058	-247.4976	-80.6885
1.4532	-0.1958	-3.9995	-29.9072	-287.8418	-80.5054
1.9523	-0.2117	-3.9995	-109.0698	-274.2310	-125.9155
1.7888	0.5662	-3.9448	-164.4287	-175.6592	-167.3584
1.2821	0.8774	-2.6562	-229.6753	-63.0493	-186.5845
0.9180	1.7542	-1.2340	-276.0010	31.2500	-183.4106
0.5062	1.9631	0.1654	-283.8135	138.1836	-173.6450
0.0782	2.1650	1.7772	-288.4521	205.3223	-182.4951
-0.4854	3.1714	3.7671	-302.1240	169.5557	-145.2637
-1.6290	3.3348	3.9995	-299.8047	68.7866	-48.4619
-2.4575	2.7346	3.9995	-240.2954	-30.0903	-10.6812
-2.8926	1.9797	3.9995	-185.9131	-82.2754	12.0850
-3.9995	0.7194	3.9995	-182.9834	-104.2480	44.9219
-3.9701	1.0477	3.9995	-150.6348	-58.1055	-19.5923
-2.5222	0.8323	3.9995	-86.7920	28.9917	-26.5503
-2.3645	0.2367	3.9995	-50.2930	17.2119	-7.6294
-2.2766	0.3757	3.9995	-30.3345	-41.0156	-31.9214
-1.9893	0.3320	3.9094	9.6436	-61.7065	-7.6294
-1.3037	0.0780	3.1471	53.2837	-49.1333	3.9062
-0.8376	-0.0502	2.5503	76.3550	-37.9639	19.7754
-0.6339	0.0514	2.1587	82.0923	-41.4429	23.3765
-0.5769	0.1548	1.8323	85.5103	-48.5229	22.5830
-0.5405	0.1918	1.5344	88.0737	-50.9033	28.9917
-0.5485	0.1891	1.2852	87.2192	-47.4854	39.9780
-0.5715	0.2205	1.0950	80.8716	-39.3677	51.6357
-0.5873	0.2697	0.9528	73.1201	-28.6865	62.4390
-0.5873	0.2882	0.8464	64.6362	-17.4561	72.6318
-0.5752	0.2896	0.7821	54.7485	-10.1318	82.2144
-0.5789	0.2773	0.7697	44.1284	-6.1035	90.1489
-0.5580	0.2802	0.7836	33.8135	-2.1973	97.5342
-0.4766	0.2664	0.7987	26.0620	3.4180	105.1025
-0.3879	0.1973	0.8645	20.9351	8.7891	108.2764
-0.5897	0.0852	0.9561	18.0664	15.5029	94.2993
-0.1675	0.2810	0.9904	18.1274	23.6206	69.9463
-0.0562	0.1722	1.0159	25.1465	30.8838	76.6602
-0.1824	0.0238	1.0337	25.5737	26.6724	78.3691
-0.1672	0.0208	1.0730	24.8413	20.0195	62.9272
-0.1559	0.0500	1.0762	28.1372	22.5830	51.3306
-0.2042	0.0194	1.1091	30.8228	20.7520	46.3257
-0.2855	-0.0164	1.1221	30.5176	20.2637	44.1284
-0.1841	-0.0322	1.0844	31.6162	27.7100	44.4946
