aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.6232	-0.4993	0.1597	-157.5928	-34.4849	13.8550
-0.5480	-0.5023	0.2013	-157.5928	-34.4849	13.8550
-0.4760	-0.4945	0.2476	-160.0342	-22.8882	5.7373
-0.4164	-0.4507	0.2996	-164.3066	-18.4326	-6.5308
-0.4270	-0.3997	0.3551	-170.2881	-20.5078	-22.0947
-0.5077	-0.1027	0.8577	-171.0815	-24.9023	-38.9404
-0.4042	0.1543	0.9238	-139.0381	-34.9731	-51.3916
-0.4249	0.4034	1.3800	-106.1401	-42.7856	-64.3921
-0.7921	0.5248	1.3870	-42.2974	-43.3350	-67.9321
-1.0791	0.2661	0.8413	37.2925	-37.5977	-49.8047
-0.9539	-0.0349	0.5538	65.4297	-9.2773	-15.3198
-0.6781	-0.1171	0.5724	59.3872	28.8086	15.8081
-0.6223	-0.1642	0.6096	57.3120	45.0439	26.8555
-0.6740	-0.1967	0.5444	57.4341	35.5225	26.4893
-0.6619	-0.2206	0.4966	51.4526	16.9067	22.9492
-0.6176	-0.2609	0.4725	42.0532	0.2441	15.5029
-0.6086	-0.3038	0.4796	36.3159	-14.5874	7.9346
-0.6707	-0.3158	0.4332	34.6680	-25.0244	1.6479
-0.7419	-0.2886	0.4615	33.2031	-24.8413	-5.3711
-0.7740	-0.2703	0.5359	36.9263	-20.9351	-10.0098
-0.7924	-0.2670	0.5814	53.0396	-16.2964	-11.7798
-0.7881	-0.3240	0.4978	80.1392	-10.1929	-12.8784
-0.7562	-0.4264	0.4037	101.6235	-3.2959	-9.3384
-0.7269	-0.4451	0.4972	114.6240	4.8828	-4.0283
-0.7675	-0.3817	0.4655	133.4229	8.6670	-0.3052
-0.8088	-0.4001	0.3744	154.1748	9.0332	1.4038
-0.8590	-0.4180	0.3015	165.7715	10.6201	5.0049
-0.8510	-0.4752	0.2347	175.5981	15.6250	8.8501
-0.8668	-0.5355	0.1564	180.2979	24.2310	10.7422
